,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mice,acute-inflammations,5,0.579,0.118
1,mice,acute-inflammations,20,0.624,0.135
2,mice,acute-inflammations,40,0.651,0.099
3,mice,autism-adolescent,5,0.216,0.148
4,mice,autism-adolescent,20,0.686,0.032
5,mice,autism-adolescent,40,0.639,0.11
6,mice,autism-adult,5,0.135,0.011
7,mice,autism-adult,20,0.171,0.011
8,mice,autism-adult,40,0.584,0.01
9,mice,autism-child,5,0.143,0.022
10,mice,autism-child,20,0.633,0.048
11,mice,autism-child,40,0.666,0.023
12,mice,bc-coimbra,5,0.196,0.032
13,mice,bc-coimbra,20,0.207,0.022
14,mice,bc-coimbra,40,0.266,0.038
15,mice,blood-transfusion,5,0.126,0.007
16,mice,blood-transfusion,20,0.165,0.016
17,mice,blood-transfusion,40,0.19,0.016
18,mice,contraceptive-methods,5,0.483,0.008
19,mice,contraceptive-methods,20,0.465,0.027
20,mice,contraceptive-methods,40,0.399,0.017
21,mice,diabetic,5,0.164,0.009
22,mice,diabetic,20,0.134,0.007
23,mice,diabetic,40,0.151,0.004
24,mice,echocardiogram,5,0.233,0.084
25,mice,echocardiogram,20,0.255,0.067
26,mice,echocardiogram,40,0.318,0.043
27,mice,fertility,5,0.373,0.067
28,mice,fertility,20,0.351,0.07
29,mice,fertility,40,0.447,0.078
30,mice,german-credit,5,0.093,0.007
31,mice,german-credit,20,0.161,0.016
32,mice,german-credit,40,0.327,0.013
33,mice,haberman,5,0.28,0.084
34,mice,haberman,20,0.294,0.08
35,mice,haberman,40,0.342,0.099
36,mice,hcv-egyptian,5,0.593,0.01
37,mice,hcv-egyptian,20,0.614,0.01
38,mice,hcv-egyptian,40,0.611,0.005
39,mice,heart-cleveland,5,0.288,0.037
40,mice,heart-cleveland,20,0.29,0.017
41,mice,heart-cleveland,40,0.39,0.03
42,mice,hepatitis,5,0.596,0.072
43,mice,hepatitis,20,0.612,0.048
44,mice,hepatitis,40,0.511,0.064
45,mice,iris,5,0.159,0.078
46,mice,iris,20,0.205,0.075
47,mice,iris,40,0.45,0.027
48,mice,liver,5,0.212,0.01
49,mice,liver,20,0.209,0.01
50,mice,liver,40,0.189,0.011
51,mice,mathernal-risk,5,0.23,0.039
52,mice,mathernal-risk,20,0.231,0.009
53,mice,mathernal-risk,40,0.272,0.012
54,mice,npha,5,0.318,0.032
55,mice,npha,20,0.279,0.024
56,mice,npha,40,0.393,0.025
57,mice,parkinsons,5,0.141,0.024
58,mice,parkinsons,20,0.174,0.018
59,mice,parkinsons,40,0.23,0.018
60,mice,phoneme,5,0.266,0.005
61,mice,phoneme,20,0.245,0.002
62,mice,phoneme,40,0.191,0.003
63,mice,pima-diabetes,5,0.224,0.02
64,mice,pima-diabetes,20,0.198,0.015
65,mice,pima-diabetes,40,0.222,0.013
66,mice,proba_football,5,0.028,0.006
67,mice,proba_football,20,0.029,0.007
68,mice,proba_football,40,0.031,0.007
69,mice,ricci,5,0.258,0.135
70,mice,ricci,20,0.18,0.083
71,mice,ricci,40,0.341,0.178
72,mice,sa-heart,5,0.288,0.032
73,mice,sa-heart,20,0.316,0.016
74,mice,sa-heart,40,0.339,0.024
75,mice,thoracic-surgery,5,0.126,0.018
76,mice,thoracic-surgery,20,0.136,0.015
77,mice,thoracic-surgery,40,0.26,0.044
78,mice,thyroid-recurrence,5,0.191,0.015
79,mice,thyroid-recurrence,20,0.158,0.022
80,mice,thyroid-recurrence,40,0.303,0.107
81,mice,wine,5,0.198,0.042
82,mice,wine,20,0.211,0.03
83,mice,wine,40,0.294,0.023
84,mice,wiscosin,5,0.07,0.013
85,mice,wiscosin,20,0.086,0.007
86,mice,wiscosin,40,0.14,0.012
