,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mice,acute-inflammations,5,0.267,0.19
1,mice,acute-inflammations,20,0.293,0.092
2,mice,acute-inflammations,40,0.418,0.123
3,mice,autism-adolescent,5,0.204,0.107
4,mice,autism-adolescent,20,0.34,0.04
5,mice,autism-adolescent,40,0.352,0.092
6,mice,autism-adult,5,0.124,0.039
7,mice,autism-adult,20,0.195,0.028
8,mice,autism-adult,40,0.352,0.036
9,mice,autism-child,5,0.142,0.064
10,mice,autism-child,20,0.286,0.026
11,mice,autism-child,40,0.357,0.038
12,mice,bc-coimbra,5,0.186,0.086
13,mice,bc-coimbra,20,0.209,0.093
14,mice,bc-coimbra,40,0.28,0.105
15,mice,blood-transfusion,5,0.064,0.065
16,mice,blood-transfusion,20,0.058,0.045
17,mice,blood-transfusion,40,0.071,0.033
18,mice,contraceptive-methods,5,0.178,0.046
19,mice,contraceptive-methods,20,0.179,0.017
20,mice,contraceptive-methods,40,0.265,0.078
21,mice,diabetic,5,0.04,0.016
22,mice,diabetic,20,0.033,0.013
23,mice,diabetic,40,0.06,0.016
24,mice,echocardiogram,5,0.189,0.137
25,mice,echocardiogram,20,0.261,0.016
26,mice,echocardiogram,40,0.255,0.068
27,mice,fertility,5,0.246,0.187
28,mice,fertility,20,0.258,0.085
29,mice,fertility,40,0.599,0.485
30,mice,german-credit,5,0.124,0.026
31,mice,german-credit,20,0.13,0.025
32,mice,german-credit,40,0.251,0.06
33,mice,haberman,5,0.144,0.112
34,mice,haberman,20,0.144,0.078
35,mice,haberman,40,0.153,0.093
36,mice,hcv-egyptian,5,0.308,0.024
37,mice,hcv-egyptian,20,0.313,0.021
38,mice,hcv-egyptian,40,0.425,0.128
39,mice,heart-cleveland,5,0.178,0.04
40,mice,heart-cleveland,20,0.24,0.038
41,mice,heart-cleveland,40,0.297,0.039
42,mice,hepatitis,5,0.233,0.043
43,mice,hepatitis,20,0.35,0.111
44,mice,hepatitis,40,0.699,0.325
45,mice,iris,5,0.047,0.042
46,mice,iris,20,0.075,0.01
47,mice,iris,40,0.241,0.064
48,mice,liver,5,0.048,0.028
49,mice,liver,20,0.067,0.027
50,mice,liver,40,0.109,0.043
51,mice,mathernal-risk,5,0.1,0.017
52,mice,mathernal-risk,20,0.148,0.016
53,mice,mathernal-risk,40,0.444,0.431
54,mice,npha,5,0.188,0.033
55,mice,npha,20,0.192,0.056
56,mice,npha,40,0.257,0.068
57,mice,parkinsons,5,0.065,0.015
58,mice,parkinsons,20,0.092,0.016
59,mice,parkinsons,40,0.265,0.115
60,mice,phoneme,5,0.258,0.004
61,mice,phoneme,20,0.178,0.002
62,mice,phoneme,40,0.162,0.002
63,mice,pima-diabetes,5,0.111,0.016
64,mice,pima-diabetes,20,0.112,0.009
65,mice,pima-diabetes,40,0.2,0.052
66,mice,proba_football,5,0.05,0.015
67,mice,proba_football,20,0.052,0.014
68,mice,proba_football,40,0.132,0.175
69,mice,ricci,5,0.097,0.104
70,mice,ricci,20,0.146,0.034
71,mice,ricci,40,1.164,1.933
72,mice,sa-heart,5,0.147,0.028
73,mice,sa-heart,20,0.154,0.024
74,mice,sa-heart,40,0.222,0.018
75,mice,thoracic-surgery,5,0.078,0.051
76,mice,thoracic-surgery,20,0.108,0.025
77,mice,thoracic-surgery,40,0.144,0.045
78,mice,thyroid-recurrence,5,0.111,0.03
79,mice,thyroid-recurrence,20,0.202,0.1
80,mice,thyroid-recurrence,40,0.491,0.365
81,mice,wine,5,0.122,0.021
82,mice,wine,20,0.167,0.076
83,mice,wine,40,0.307,0.115
84,mice,wiscosin,5,0.022,0.003
85,mice,wiscosin,20,0.028,0.002
86,mice,wiscosin,40,0.085,0.011
