Dataset;Missing rate;F1-score;Accuracy;AUC
acute-inflammations;5;0.957;0.958;0.993
acute-inflammations;5;1.0;1.0;1.0
acute-inflammations;5;0.87;0.875;0.938
acute-inflammations;5;0.96;0.958;0.962
acute-inflammations;5;1.0;1.0;1.0
acute-inflammations;20;0.917;0.917;0.962
acute-inflammations;20;0.957;0.958;1.0
acute-inflammations;20;0.727;0.75;0.854
acute-inflammations;20;0.71;0.625;0.861
acute-inflammations;20;0.88;0.875;0.972
acute-inflammations;40;0.545;0.583;0.654
acute-inflammations;40;0.667;0.75;0.951
acute-inflammations;40;0.64;0.625;0.622
acute-inflammations;40;0.72;0.708;0.771
acute-inflammations;40;0.647;0.5;0.552
autism-adolescent;5;1.0;1.0;1.0
autism-adolescent;5;1.0;1.0;1.0
autism-adolescent;5;0.87;0.857;0.885
autism-adolescent;5;1.0;1.0;1.0
autism-adolescent;5;1.0;1.0;1.0
autism-adolescent;20;0.96;0.952;1.0
autism-adolescent;20;1.0;1.0;1.0
autism-adolescent;20;0.632;0.667;0.683
autism-adolescent;20;0.963;0.952;0.971
autism-adolescent;20;0.889;0.85;0.911
autism-adolescent;40;0.7;0.714;0.907
autism-adolescent;40;0.963;0.952;0.99
autism-adolescent;40;0.421;0.476;0.668
autism-adolescent;40;0.812;0.714;0.572
autism-adolescent;40;0.923;0.9;0.969
autism-adult;5;1.0;1.0;1.0
autism-adult;5;1.0;1.0;1.0
autism-adult;5;1.0;1.0;1.0
autism-adult;5;1.0;1.0;1.0
autism-adult;5;1.0;1.0;1.0
autism-adult;20;1.0;1.0;1.0
autism-adult;20;1.0;1.0;1.0
autism-adult;20;1.0;1.0;1.0
autism-adult;20;1.0;1.0;1.0
autism-adult;20;1.0;1.0;1.0
autism-adult;40;1.0;1.0;1.0
autism-adult;40;0.987;0.993;0.994
autism-adult;40;0.974;0.986;0.99
autism-adult;40;1.0;1.0;1.0
autism-adult;40;1.0;1.0;1.0
autism-child;5;1.0;1.0;1.0
autism-child;5;1.0;1.0;1.0
autism-child;5;0.756;0.81;0.804
autism-child;5;1.0;1.0;1.0
autism-child;5;1.0;1.0;1.0
autism-child;20;1.0;1.0;1.0
autism-child;20;0.982;0.983;0.992
autism-child;20;0.513;0.672;0.809
autism-child;20;0.982;0.982;1.0
autism-child;20;0.982;0.982;1.0
autism-child;40;1.0;1.0;1.0
autism-child;40;0.982;0.983;0.971
autism-child;40;0.171;0.5;0.537
autism-child;40;0.982;0.982;1.0
autism-child;40;0.966;0.965;0.968
bc-coimbra;5;0.733;0.667;0.755
bc-coimbra;5;0.69;0.609;0.727
bc-coimbra;5;0.743;0.609;0.585
bc-coimbra;5;0.828;0.783;0.785
bc-coimbra;5;0.133;0.435;0.546
bc-coimbra;20;0.56;0.542;0.629
bc-coimbra;20;0.533;0.391;0.288
bc-coimbra;20;0.722;0.565;0.669
bc-coimbra;20;0.714;0.652;0.623
bc-coimbra;20;0.333;0.478;0.562
bc-coimbra;40;0.19;0.292;0.343
bc-coimbra;40;0.645;0.522;0.629
bc-coimbra;40;0.581;0.435;0.431
bc-coimbra;40;0.606;0.435;0.546
bc-coimbra;40;0.522;0.522;0.454
blood-transfusion;5;0.402;0.347;0.747
blood-transfusion;5;0.333;0.68;0.611
blood-transfusion;5;0.25;0.76;0.628
blood-transfusion;5;0.425;0.691;0.659
blood-transfusion;5;0.269;0.745;0.662
blood-transfusion;20;0.422;0.653;0.698
blood-transfusion;20;0.145;0.687;0.609
blood-transfusion;20;0.25;0.76;0.52
blood-transfusion;20;0.396;0.631;0.585
blood-transfusion;20;0.357;0.758;0.728
blood-transfusion;40;0.404;0.607;0.622
blood-transfusion;40;0.235;0.74;0.757
blood-transfusion;40;0.105;0.773;0.697
blood-transfusion;40;0.17;0.738;0.629
blood-transfusion;40;0.373;0.752;0.773
contraceptive-methods;5;0.485;0.485;0.612
contraceptive-methods;5;0.546;0.546;0.71
contraceptive-methods;5;0.502;0.502;0.674
contraceptive-methods;5;0.497;0.497;0.708
contraceptive-methods;5;0.486;0.486;0.666
contraceptive-methods;20;0.471;0.471;0.612
contraceptive-methods;20;0.475;0.475;0.66
contraceptive-methods;20;0.515;0.515;0.684
contraceptive-methods;20;0.517;0.517;0.676
contraceptive-methods;20;0.514;0.514;0.689
contraceptive-methods;40;0.407;0.407;0.586
contraceptive-methods;40;0.437;0.437;0.595
contraceptive-methods;40;0.464;0.464;0.628
contraceptive-methods;40;0.408;0.408;0.635
contraceptive-methods;40;0.439;0.439;0.612
diabetic;5;0.748;0.723;0.793
diabetic;5;0.675;0.678;0.755
diabetic;5;0.68;0.657;0.745
diabetic;5;0.667;0.617;0.693
diabetic;5;0.691;0.674;0.742
diabetic;20;0.713;0.693;0.763
diabetic;20;0.67;0.67;0.725
diabetic;20;0.723;0.7;0.791
diabetic;20;0.664;0.643;0.682
diabetic;20;0.677;0.652;0.722
diabetic;40;0.612;0.589;0.647
diabetic;40;0.631;0.613;0.678
diabetic;40;0.667;0.661;0.701
diabetic;40;0.674;0.63;0.688
