,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,softImpute,acute-inflammations,5,0.363,0.19
1,softImpute,acute-inflammations,20,0.333,0.066
2,softImpute,acute-inflammations,40,0.356,0.03
3,softImpute,autism-adolescent,5,0.665,0.101
4,softImpute,autism-adolescent,20,0.532,0.051
5,softImpute,autism-adolescent,40,0.489,0.076
6,softImpute,autism-adult,5,0.499,0.05
7,softImpute,autism-adult,20,0.419,0.035
8,softImpute,autism-adult,40,0.469,0.026
9,softImpute,autism-child,5,0.56,0.088
10,softImpute,autism-child,20,0.579,0.041
11,softImpute,autism-child,40,0.55,0.049
12,softImpute,bank-marketing,5,0.329,0.028
13,softImpute,bank-marketing,20,0.324,0.013
14,softImpute,bank-marketing,40,0.338,0.016
15,softImpute,bc-coimbra,5,0.184,0.038
16,softImpute,bc-coimbra,20,0.172,0.064
17,softImpute,bc-coimbra,40,0.161,0.052
18,softImpute,blood-transfusion,5,0.036,0.017
19,softImpute,blood-transfusion,20,0.052,0.04
20,softImpute,blood-transfusion,40,0.068,0.016
21,softImpute,contraceptive-methods,5,0.511,0.035
22,softImpute,contraceptive-methods,20,0.481,0.034
23,softImpute,contraceptive-methods,40,0.37,0.026
24,softImpute,diabetic,5,0.211,0.028
25,softImpute,diabetic,20,0.234,0.048
26,softImpute,diabetic,40,0.255,0.05
27,softImpute,echocardiogram,5,0.3,0.118
28,softImpute,echocardiogram,20,0.304,0.087
29,softImpute,echocardiogram,40,0.276,0.047
30,softImpute,fertility,5,0.306,0.083
31,softImpute,fertility,20,0.362,0.061
32,softImpute,fertility,40,0.337,0.053
33,softImpute,german-credit,5,0.287,0.025
34,softImpute,german-credit,20,0.316,0.029
35,softImpute,german-credit,40,0.308,0.014
36,softImpute,haberman,5,0.203,0.11
37,softImpute,haberman,20,0.266,0.13
38,softImpute,haberman,40,0.207,0.098
39,softImpute,hcv-egyptian,5,0.525,0.022
40,softImpute,hcv-egyptian,20,0.533,0.013
41,softImpute,hcv-egyptian,40,0.504,0.025
42,softImpute,heart-cleveland,5,0.346,0.041
43,softImpute,heart-cleveland,20,0.288,0.023
44,softImpute,heart-cleveland,40,0.269,0.027
45,softImpute,hepatitis,5,0.496,0.045
46,softImpute,hepatitis,20,0.531,0.085
47,softImpute,hepatitis,40,0.537,0.036
48,softImpute,iris,5,0.169,0.103
49,softImpute,iris,20,0.182,0.049
50,softImpute,iris,40,0.208,0.014
51,softImpute,liver,5,0.144,0.055
52,softImpute,liver,20,0.119,0.047
53,softImpute,liver,40,0.169,0.037
54,softImpute,mathernal-risk,5,0.203,0.026
55,softImpute,mathernal-risk,20,0.221,0.026
56,softImpute,mathernal-risk,40,0.229,0.015
57,softImpute,npha,5,0.486,0.046
58,softImpute,npha,20,0.465,0.015
59,softImpute,npha,40,0.45,0.051
60,softImpute,parkinsons,5,60.866,17.967
61,softImpute,parkinsons,20,63.756,14.844
62,softImpute,parkinsons,40,64.261,18.494
63,softImpute,phoneme,5,0.217,0.008
64,softImpute,phoneme,20,0.208,0.026
65,softImpute,phoneme,40,0.188,0.024
66,softImpute,pima-diabetes,5,0.215,0.008
67,softImpute,pima-diabetes,20,0.185,0.013
68,softImpute,pima-diabetes,40,0.177,0.012
69,softImpute,proba_football,5,0.062,0.054
70,softImpute,proba_football,20,0.105,0.026
71,softImpute,proba_football,40,0.133,0.008
72,softImpute,ricci,5,0.303,0.09
73,softImpute,ricci,20,0.256,0.11
74,softImpute,ricci,40,0.309,0.055
75,softImpute,sa-heart,5,0.236,0.062
76,softImpute,sa-heart,20,0.223,0.023
77,softImpute,sa-heart,40,0.222,0.033
78,softImpute,thoracic-surgery,5,0.209,0.024
79,softImpute,thoracic-surgery,20,0.232,0.017
80,softImpute,thoracic-surgery,40,0.215,0.01
