,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,softImpute,acute-inflammations,5,0.363,0.19
1,softImpute,acute-inflammations,20,0.333,0.066
2,softImpute,acute-inflammations,40,0.356,0.03
3,softImpute,autism-adolescent,5,0.665,0.101
4,softImpute,autism-adolescent,20,0.532,0.051
5,softImpute,autism-adolescent,40,0.489,0.076
6,softImpute,autism-adult,5,0.499,0.05
7,softImpute,autism-adult,20,0.419,0.035
8,softImpute,autism-adult,40,0.469,0.026
9,softImpute,autism-child,5,0.56,0.088
10,softImpute,autism-child,20,0.579,0.041
11,softImpute,autism-child,40,0.55,0.049
12,softImpute,bank-marketing,5,0.329,0.028
13,softImpute,bank-marketing,20,0.324,0.013
14,softImpute,bank-marketing,40,0.338,0.016
