,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,knn,acute-inflammations,5,0.459,0.09
1,knn,acute-inflammations,20,0.477,0.098
2,knn,acute-inflammations,40,0.462,0.042
3,knn,autism-adolescent,5,0.433,0.065
4,knn,autism-adolescent,20,0.41,0.033
5,knn,autism-adolescent,40,0.396,0.039
6,knn,autism-adult,5,0.356,0.048
7,knn,autism-adult,20,0.38,0.045
8,knn,autism-adult,40,0.377,0.031
9,knn,autism-child,5,0.423,0.048
10,knn,autism-child,20,0.438,0.032
11,knn,autism-child,40,0.428,0.039
12,knn,bank-marketing,5,0.348,0.03
13,knn,bank-marketing,20,0.388,0.044
14,knn,bank-marketing,40,0.387,0.046
15,knn,bc-coimbra,5,0.166,0.069
16,knn,bc-coimbra,20,0.208,0.085
17,knn,bc-coimbra,40,0.214,0.063
18,knn,blood-transfusion,5,0.049,0.052
19,knn,blood-transfusion,20,0.108,0.074
20,knn,blood-transfusion,40,0.131,0.047
21,knn,contraceptive-methods,5,0.275,0.079
22,knn,contraceptive-methods,20,0.279,0.034
23,knn,contraceptive-methods,40,0.285,0.014
24,knn,diabetic,5,0.375,0.073
25,knn,diabetic,20,0.387,0.072
26,knn,diabetic,40,0.322,0.104
27,knn,echocardiogram,5,0.272,0.084
28,knn,echocardiogram,20,0.26,0.053
29,knn,echocardiogram,40,0.262,0.031
30,knn,fertility,5,0.374,0.101
31,knn,fertility,20,0.403,0.095
32,knn,fertility,40,0.383,0.07
33,knn,german-credit,5,0.286,0.028
34,knn,german-credit,20,0.298,0.019
35,knn,german-credit,40,0.309,0.013
36,knn,haberman,5,0.215,0.166
37,knn,haberman,20,0.157,0.083
38,knn,haberman,40,0.17,0.09
39,knn,hcv-egyptian,5,0.333,0.021
40,knn,hcv-egyptian,20,0.354,0.018
41,knn,hcv-egyptian,40,0.346,0.008
42,knn,heart-cleveland,5,0.255,0.06
43,knn,heart-cleveland,20,0.22,0.014
44,knn,heart-cleveland,40,0.232,0.041
45,knn,hepatitis,5,0.411,0.067
46,knn,hepatitis,20,0.405,0.063
47,knn,hepatitis,40,0.4,0.039
48,knn,iris,5,0.12,0.062
49,knn,iris,20,0.235,0.049
50,knn,iris,40,0.285,0.036
51,knn,liver,5,0.088,0.047
52,knn,liver,20,0.103,0.061
53,knn,liver,40,0.109,0.035
54,knn,mathernal-risk,5,0.084,0.014
55,knn,mathernal-risk,20,0.156,0.009
56,knn,mathernal-risk,40,0.162,0.017
57,knn,npha,5,0.314,0.051
58,knn,npha,20,0.315,0.058
59,knn,npha,40,0.324,0.077
60,knn,parkinsons,5,67.678,58.771
61,knn,parkinsons,20,67.692,58.75
62,knn,parkinsons,40,67.957,58.656
63,knn,phoneme,5,0.116,0.017
64,knn,phoneme,20,0.145,0.009
65,knn,phoneme,40,0.155,0.007
66,knn,pima-diabetes,5,0.115,0.026
67,knn,pima-diabetes,20,0.103,0.02
68,knn,pima-diabetes,40,0.13,0.023
69,knn,proba_football,5,0.155,0.022
70,knn,proba_football,20,0.161,0.028
71,knn,proba_football,40,0.161,0.042
72,knn,ricci,5,0.362,0.173
73,knn,ricci,20,0.342,0.103
74,knn,ricci,40,0.354,0.109
75,knn,sa-heart,5,0.196,0.053
76,knn,sa-heart,20,0.206,0.06
77,knn,sa-heart,40,0.213,0.067
78,knn,thoracic-surgery,5,0.231,0.033
79,knn,thoracic-surgery,20,0.253,0.026
80,knn,thoracic-surgery,40,0.269,0.051
81,knn,thyroid-recurrence,5,0.193,0.02
82,knn,thyroid-recurrence,20,0.245,0.014
83,knn,thyroid-recurrence,40,0.264,0.015
84,knn,wine,5,0.151,0.023
85,knn,wine,20,0.182,0.017
86,knn,wine,40,0.222,0.022
