,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,knn,acute-inflammations,5,0.542,0.162
1,knn,acute-inflammations,20,0.668,0.124
2,knn,acute-inflammations,40,0.757,0.085
3,knn,autism-adolescent,5,0.659,0.122
4,knn,autism-adolescent,20,0.721,0.011
5,knn,autism-adolescent,40,0.628,0.065
6,knn,autism-adult,5,0.303,0.023
7,knn,autism-adult,20,0.461,0.031
8,knn,autism-adult,40,0.634,0.009
9,knn,autism-child,5,0.489,0.06
10,knn,autism-child,20,0.73,0.036
11,knn,autism-child,40,0.679,0.024
12,knn,bc-coimbra,5,0.198,0.021
13,knn,bc-coimbra,20,0.206,0.039
14,knn,bc-coimbra,40,0.236,0.049
15,knn,blood-transfusion,5,0.079,0.026
16,knn,blood-transfusion,20,0.179,0.079
17,knn,blood-transfusion,40,0.181,0.019
18,knn,contraceptive-methods,5,0.484,0.012
19,knn,contraceptive-methods,20,0.497,0.029
20,knn,contraceptive-methods,40,0.416,0.015
21,knn,diabetic,5,0.164,0.009
22,knn,diabetic,20,0.159,0.01
23,knn,diabetic,40,0.188,0.007
24,knn,echocardiogram,5,0.241,0.11
25,knn,echocardiogram,20,0.284,0.058
26,knn,echocardiogram,40,0.314,0.028
27,knn,fertility,5,0.365,0.085
28,knn,fertility,20,0.399,0.052
29,knn,fertility,40,0.493,0.06
30,knn,german-credit,5,0.174,0.011
31,knn,german-credit,20,0.364,0.022
32,knn,german-credit,40,0.548,0.009
33,knn,haberman,5,0.271,0.07
34,knn,haberman,20,0.291,0.074
35,knn,haberman,40,0.315,0.081
36,knn,hcv-egyptian,5,0.488,0.011
37,knn,hcv-egyptian,20,0.589,0.012
38,knn,hcv-egyptian,40,0.628,0.004
39,knn,heart-cleveland,5,0.3,0.042
40,knn,heart-cleveland,20,0.344,0.012
41,knn,heart-cleveland,40,0.403,0.019
42,knn,hepatitis,5,0.584,0.077
43,knn,hepatitis,20,0.607,0.081
44,knn,hepatitis,40,0.516,0.063
45,knn,iris,5,0.153,0.094
46,knn,iris,20,0.271,0.091
47,knn,iris,40,0.475,0.028
48,knn,liver,5,0.207,0.018
49,knn,liver,20,0.229,0.01
50,knn,liver,40,0.194,0.007
51,knn,mathernal-risk,5,0.183,0.024
52,knn,mathernal-risk,20,0.219,0.015
53,knn,mathernal-risk,40,0.261,0.005
54,knn,npha,5,0.326,0.012
55,knn,npha,20,0.379,0.037
56,knn,npha,40,0.444,0.011
57,knn,parkinsons,5,0.129,0.035
58,knn,parkinsons,20,0.172,0.036
59,knn,parkinsons,40,0.209,0.021
60,knn,phoneme,5,0.224,0.008
61,knn,phoneme,20,0.252,0.003
62,knn,phoneme,40,0.247,0.002
63,knn,pima-diabetes,5,0.214,0.02
64,knn,pima-diabetes,20,0.184,0.016
65,knn,pima-diabetes,40,0.214,0.008
66,knn,proba_football,5,0.042,0.009
67,knn,proba_football,20,0.327,0.077
68,knn,proba_football,40,0.501,0.044
69,knn,ricci,5,0.236,0.057
70,knn,ricci,20,0.24,0.071
71,knn,ricci,40,0.359,0.11
72,knn,sa-heart,5,0.254,0.012
73,knn,sa-heart,20,0.301,0.009
74,knn,sa-heart,40,0.329,0.023
75,knn,thoracic-surgery,5,0.148,0.009
76,knn,thoracic-surgery,20,0.208,0.025
77,knn,thoracic-surgery,40,0.221,0.022
78,knn,thyroid-recurrence,5,0.187,0.03
79,knn,thyroid-recurrence,20,0.233,0.024
80,knn,thyroid-recurrence,40,0.313,0.107
81,knn,wine,5,0.194,0.049
82,knn,wine,20,0.269,0.017
83,knn,wine,40,0.314,0.01
84,knn,wiscosin,5,0.1,0.012
85,knn,wiscosin,20,0.112,0.009
86,knn,wiscosin,40,0.132,0.01
