,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,softImpute,acute-inflammations,5,0.454,0.125
1,softImpute,acute-inflammations,20,0.369,0.118
2,softImpute,acute-inflammations,40,0.428,0.103
3,softImpute,autism-adolescent,5,0.424,0.172
4,softImpute,autism-adolescent,20,0.463,0.107
5,softImpute,autism-adolescent,40,0.477,0.105
6,softImpute,autism-adult,5,0.389,0.054
7,softImpute,autism-adult,20,0.399,0.058
8,softImpute,autism-adult,40,0.406,0.06
9,softImpute,autism-child,5,0.418,0.036
10,softImpute,autism-child,20,0.475,0.044
11,softImpute,autism-child,40,0.52,0.057
12,softImpute,bank-marketing,5,0.361,0.017
13,softImpute,bank-marketing,20,0.359,0.015
14,softImpute,bank-marketing,40,0.356,0.03
15,softImpute,bc-coimbra,5,0.191,0.086
16,softImpute,bc-coimbra,20,0.215,0.073
17,softImpute,bc-coimbra,40,0.233,0.122
18,softImpute,blood-transfusion,5,0.089,0.064
19,softImpute,blood-transfusion,20,0.089,0.047
20,softImpute,blood-transfusion,40,0.133,0.074
21,softImpute,contraceptive-methods,5,0.343,0.048
22,softImpute,contraceptive-methods,20,0.388,0.085
23,softImpute,contraceptive-methods,40,0.408,0.117
24,softImpute,diabetic,5,0.358,0.102
25,softImpute,diabetic,20,0.493,0.091
26,softImpute,diabetic,40,0.337,0.046
27,softImpute,echocardiogram,5,0.248,0.17
28,softImpute,echocardiogram,20,0.299,0.077
29,softImpute,echocardiogram,40,0.323,0.037
