Dataset;Missing rate;F1-score;Accuracy;AUC
acute-inflammations;5;0.957;0.958;1.0
acute-inflammations;5;0.0;0.208;0.25
acute-inflammations;5;0.75;0.667;0.868
acute-inflammations;5;0.615;0.583;0.542
acute-inflammations;5;0.8;0.833;0.917
acute-inflammations;20;1.0;1.0;1.0
acute-inflammations;20;0.0;0.5;1.0
acute-inflammations;20;0.917;0.917;0.983
acute-inflammations;20;0.769;0.75;0.757
acute-inflammations;20;0.846;0.833;0.896
acute-inflammations;40;0.636;0.667;0.755
acute-inflammations;40;0.273;0.333;0.337
acute-inflammations;40;0.0;0.375;0.514
acute-inflammations;40;0.593;0.542;0.601
acute-inflammations;40;0.688;0.583;0.771
autism-adolescent;5;0.421;0.476;0.75
autism-adolescent;5;0.929;0.905;1.0
autism-adolescent;5;0.833;0.81;0.971
autism-adolescent;5;0.857;0.81;0.923
autism-adolescent;5;1.0;1.0;1.0
autism-adolescent;20;0.696;0.667;0.718
autism-adolescent;20;0.889;0.857;0.971
autism-adolescent;20;0.96;0.952;0.971
autism-adolescent;20;0.88;0.857;0.87
autism-adolescent;20;0.846;0.8;0.948
autism-adolescent;40;0.833;0.81;0.843
autism-adolescent;40;0.857;0.81;0.75
autism-adolescent;40;0.759;0.667;0.654
autism-adolescent;40;0.75;0.714;0.716
autism-adolescent;40;0.667;0.6;0.536
autism-adult;5;0.937;0.965;0.992
autism-adult;5;0.914;0.957;0.991
autism-adult;5;0.857;0.929;0.992
autism-adult;5;0.921;0.957;0.995
autism-adult;5;0.96;0.979;0.999
autism-adult;20;0.902;0.943;0.988
autism-adult;20;0.817;0.907;0.95
autism-adult;20;0.781;0.9;0.956
autism-adult;20;0.905;0.943;0.986
autism-adult;20;0.861;0.929;0.99
autism-adult;40;0.737;0.823;0.952
autism-adult;40;0.15;0.757;0.866
autism-adult;40;0.386;0.75;0.8
autism-adult;40;0.757;0.871;0.926
autism-adult;40;0.686;0.843;0.917
autism-child;5;0.963;0.966;0.987
autism-child;5;0.966;0.966;0.994
autism-child;5;0.909;0.914;0.979
autism-child;5;0.792;0.825;0.912
autism-child;5;0.947;0.947;0.986
autism-child;20;0.912;0.914;0.944
autism-child;20;0.857;0.862;0.927
autism-child;20;0.857;0.862;0.925
autism-child;20;0.76;0.789;0.87
autism-child;20;0.915;0.912;0.978
autism-child;40;0.45;0.621;0.779
autism-child;40;0.727;0.741;0.824
autism-child;40;0.061;0.466;0.452
autism-child;40;0.171;0.491;0.447
autism-child;40;0.652;0.719;0.798
bc-coimbra;5;0.316;0.458;0.346
bc-coimbra;5;0.667;0.565;0.606
bc-coimbra;5;0.727;0.609;0.592
bc-coimbra;5;0.727;0.609;0.662
bc-coimbra;5;0.316;0.435;0.462
bc-coimbra;20;0.643;0.583;0.517
bc-coimbra;20;0.615;0.565;0.534
bc-coimbra;20;0.667;0.609;0.746
bc-coimbra;20;0.0;0.391;0.404
bc-coimbra;20;0.788;0.696;0.7
bc-coimbra;40;0.0;0.458;0.469
bc-coimbra;40;0.593;0.522;0.538
bc-coimbra;40;0.316;0.435;0.485
bc-coimbra;40;0.688;0.565;0.654
bc-coimbra;40;0.571;0.609;0.658
blood-transfusion;5;0.446;0.587;0.652
blood-transfusion;5;0.4;0.74;0.564
blood-transfusion;5;0.189;0.6;0.418
blood-transfusion;5;0.169;0.537;0.427
blood-transfusion;5;0.438;0.758;0.642
blood-transfusion;20;0.304;0.633;0.54
blood-transfusion;20;0.382;0.72;0.712
blood-transfusion;20;0.235;0.74;0.533
blood-transfusion;20;0.222;0.624;0.53
blood-transfusion;20;0.293;0.644;0.512
blood-transfusion;40;0.312;0.56;0.492
blood-transfusion;40;0.275;0.613;0.524
blood-transfusion;40;0.375;0.733;0.657
blood-transfusion;40;0.0;0.765;0.528
blood-transfusion;40;0.23;0.685;0.448
contraceptive-methods;5;0.386;0.386;0.543
contraceptive-methods;5;0.369;0.369;0.497
contraceptive-methods;5;0.414;0.414;0.545
contraceptive-methods;5;0.398;0.398;0.569
contraceptive-methods;5;0.432;0.432;0.552
contraceptive-methods;20;0.386;0.386;0.494
contraceptive-methods;20;0.339;0.339;0.517
contraceptive-methods;20;0.386;0.386;0.567
contraceptive-methods;20;0.378;0.378;0.535
contraceptive-methods;20;0.401;0.401;0.54
contraceptive-methods;40;0.386;0.386;0.557
contraceptive-methods;40;0.431;0.431;0.532
contraceptive-methods;40;0.393;0.393;0.473
contraceptive-methods;40;0.405;0.405;0.549
contraceptive-methods;40;0.398;0.398;0.54
diabetic;5;0.683;0.55;0.579
diabetic;5;0.546;0.53;0.595
diabetic;5;0.639;0.543;0.549
diabetic;5;0.632;0.535;0.532
diabetic;5;0.621;0.491;0.468
diabetic;20;0.646;0.558;0.599
diabetic;20;0.637;0.535;0.578
diabetic;20;0.669;0.57;0.578
diabetic;20;0.618;0.522;0.536
diabetic;20;0.691;0.53;0.515
diabetic;40;0.615;0.593;0.626
diabetic;40;0.638;0.526;0.541
diabetic;40;0.561;0.53;0.575
diabetic;40;0.655;0.561;0.592
diabetic;40;0.642;0.574;0.637
echocardiogram;5;0.545;0.615;0.8
echocardiogram;5;0.6;0.667;0.844
echocardiogram;5;0.75;0.833;0.75
echocardiogram;5;0.667;0.833;0.578
echocardiogram;5;0.5;0.667;0.594
echocardiogram;20;0.6;0.692;0.75
echocardiogram;20;1.0;1.0;1.0
echocardiogram;20;0.6;0.667;0.656
echocardiogram;20;0.0;0.667;0.672
echocardiogram;20;0.545;0.583;0.781
echocardiogram;40;0.0;0.615;0.7
echocardiogram;40;0.667;0.833;0.625
echocardiogram;40;0.545;0.583;0.562
echocardiogram;40;0.333;0.667;0.578
echocardiogram;40;0.286;0.583;0.734
fertility;5;0.0;0.6;0.389
fertility;5;0.0;0.9;0.444
fertility;5;0.0;0.75;0.639
fertility;5;0.0;0.85;0.441
fertility;5;0.0;0.85;0.863
fertility;20;0.0;0.9;0.472
fertility;20;0.0;0.9;0.556
fertility;20;0.0;0.9;0.306
fertility;20;0.0;0.85;0.598
