Position,Oral,Written,Combine,Race_B,Race_H,Race_W,target
1.0,1.0544449170565717,0.2173734234070733,0.5042405551272167,1.0,0.0,0.0,1
1.0,0.6380263717566994,0.4999999999999998,0.5034695451040865,1.0,0.0,1.0,1
1.0,0.6556784347086346,0.4782608695652173,0.49701233616037,1.0,0.0,1.0,1
1.0,0.2658443215652915,0.7173913043478259,0.47937548188126455,1.0,1.0,1.0,1
1.0,0.5672054444917058,0.4999999999999998,0.4713762528912875,0.0,1.0,1.0,1
1.0,0.49617184176945983,0.5434782608695652,0.46809946029298377,1.0,1.0,1.0,1
1.0,0.33666524883028504,0.652173913043478,0.46809946029298377,1.0,1.0,1.0,1
1.0,0.2392598894087623,0.7173913043478259,0.4673284502698536,1.0,1.0,1.0,1
1.0,0.7443641003828159,0.3695652173913042,0.4649190439475712,1.0,0.0,1.0,1
1.0,0.6646108039132286,0.4130434782608694,0.45769082498072455,0.0,0.0,1.0,1
1.0,0.620374308804764,0.4347826086956521,0.4521010023130301,0.0,0.0,1.0,1
1.0,0.1739302977337297,0.29097222601630623,0.154105628373169,0.0,0.0,1.0,0
1.0,0.04437153278884759,0.3695652173913042,0.14764841942945273,0.0,0.0,1.0,0
1.0,0.03560197148936026,0.3695652173913042,0.14369699306090977,0.0,1.0,1.0,0
1.0,0.8757827782839136,0.34782608695652173,0.5100166541500019,0.0,0.0,1.0,0
1.0,0.2834963845172267,0.8697588111203411,0.5886705654375547,1.0,0.0,0.0,0
1.0,0.2569119523606975,0.8490375411133073,0.562830107639799,0.0,0.0,1.0,0
1.0,0.34559761803487876,0.8325359032055448,0.5920635893007589,1.0,0.0,0.0,0
1.0,0.8043099322893706,0.326086956521739,0.4631892957544186,0.0,1.0,1.0,0
1.0,0.27405658825101586,0.5841390567057945,0.39447486570587065,1.0,0.0,0.0,0
1.0,0.6177483768273732,0.5947511985695547,0.5572955383819735,0.0,1.0,1.0,0
1.0,0.27405658825101586,0.5841390567057945,0.39447486570587065,1.0,0.0,0.0,0
1.0,0.27405658825101586,0.5841390567057945,0.39447486570587065,1.0,0.0,0.0,0
