Dataset;Missing Rate;KNN;MICE;SOFTIMPUTE;GAIN
acute-inflammations;5;0.459 ± 0.09;0.438 ± 0.139;0.454 ± 0.125;0.413 ± 0.204
acute-inflammations;20;0.477 ± 0.098;0.389 ± 0.13;0.369 ± 0.118;0.527 ± 0.18
acute-inflammations;40;0.462 ± 0.042;0.578 ± 0.086;0.428 ± 0.103;0.498 ± 0.073
autism-adolescent;5;0.433 ± 0.065;0.512 ± 0.107;0.424 ± 0.172;0.543 ± 0.087
autism-adolescent;20;0.41 ± 0.033;0.492 ± 0.067;0.463 ± 0.107;0.565 ± 0.052
autism-adolescent;40;0.396 ± 0.039;0.466 ± 0.078;0.477 ± 0.105;0.506 ± 0.057
autism-adult;5;0.356 ± 0.048;0.379 ± 0.067;0.389 ± 0.054;0.481 ± 0.07
autism-adult;20;0.38 ± 0.045;0.401 ± 0.027;0.399 ± 0.058;0.536 ± 0.041
autism-adult;40;0.377 ± 0.031;0.431 ± 0.018;0.406 ± 0.06;0.513 ± 0.058
autism-child;5;0.423 ± 0.048;0.446 ± 0.073;0.418 ± 0.036;0.529 ± 0.035
autism-child;20;0.438 ± 0.032;0.438 ± 0.048;0.475 ± 0.044;0.569 ± 0.049
autism-child;40;0.428 ± 0.039;0.471 ± 0.026;0.52 ± 0.057;0.531 ± 0.046
bc-coimbra;5;0.166 ± 0.069;0.186 ± 0.087;0.191 ± 0.086;0.464 ± 0.064
bc-coimbra;20;0.208 ± 0.085;0.203 ± 0.081;0.215 ± 0.073;0.611 ± 0.084
bc-coimbra;40;0.214 ± 0.063;0.277 ± 0.102;0.233 ± 0.122;0.507 ± 0.155
blood-transfusion;5;0.049 ± 0.052;0.069 ± 0.063;0.089 ± 0.064;0.495 ± 0.172
blood-transfusion;20;0.108 ± 0.074;0.061 ± 0.043;0.089 ± 0.047;0.382 ± 0.124
blood-transfusion;40;0.131 ± 0.047;0.072 ± 0.032;0.133 ± 0.074;0.357 ± 0.178
contraceptive-methods;5;0.275 ± 0.079;0.261 ± 0.075;0.343 ± 0.048;0.576 ± 0.083
contraceptive-methods;20;0.279 ± 0.034;0.266 ± 0.038;0.388 ± 0.085;0.431 ± 0.113
contraceptive-methods;40;0.285 ± 0.014;0.37 ± 0.115;0.408 ± 0.117;0.423 ± 0.017
diabetic;5;0.375 ± 0.073;0.363 ± 0.1;0.358 ± 0.102;0.582 ± 0.096
diabetic;20;0.387 ± 0.072;0.431 ± 0.151;0.493 ± 0.091;0.566 ± 0.133
diabetic;40;0.322 ± 0.104;0.324 ± 0.075;0.337 ± 0.046;0.538 ± 0.06
echocardiogram;5;0.272 ± 0.084;0.252 ± 0.088;0.248 ± 0.17;0.438 ± 0.078
echocardiogram;20;0.26 ± 0.053;0.257 ± 0.041;0.299 ± 0.077;0.523 ± 0.029
echocardiogram;40;0.262 ± 0.031;0.421 ± 0.209;0.323 ± 0.037;0.462 ± 0.047
fertility;5;0.374 ± 0.101;0.433 ± 0.069;0.339 ± 0.052;0.548 ± 0.142
fertility;20;0.403 ± 0.095;0.359 ± 0.077;0.439 ± 0.127;0.623 ± 0.061
fertility;40;0.383 ± 0.07;0.918 ± 0.782;0.44 ± 0.101;0.564 ± 0.099
german-credit;5;0.286 ± 0.028;0.307 ± 0.013;0.33 ± 0.028;0.436 ± 0.027
german-credit;20;0.298 ± 0.019;0.317 ± 0.02;0.327 ± 0.013;0.438 ± 0.041
german-credit;40;0.309 ± 0.013;1.897 ± 3.213;0.324 ± 0.007;0.457 ± 0.029
haberman;5;0.215 ± 0.166;0.172 ± 0.134;0.245 ± 0.04;0.248 ± 0.05
haberman;20;0.157 ± 0.083;0.146 ± 0.082;0.222 ± 0.077;0.31 ± 0.112
haberman;40;0.17 ± 0.09;0.152 ± 0.093;0.238 ± 0.081;0.226 ± 0.079
hcv-egyptian;5;0.333 ± 0.021;0.33 ± 0.036;0.32 ± 0.022;0.383 ± 0.038
hcv-egyptian;20;0.354 ± 0.018;0.326 ± 0.039;0.356 ± 0.016;0.405 ± 0.032
hcv-egyptian;40;0.346 ± 0.008;0.406 ± 0.073;0.384 ± 0.023;0.378 ± 0.015
heart-cleveland;5;0.255 ± 0.06;0.241 ± 0.061;0.315 ± 0.056;0.394 ± 0.049
heart-cleveland;20;0.22 ± 0.014;0.264 ± 0.078;0.274 ± 0.029;0.442 ± 0.034
heart-cleveland;40;0.232 ± 0.041;0.279 ± 0.015;0.297 ± 0.032;0.486 ± 0.072
hepatitis;5;0.411 ± 0.067;0.409 ± 0.088;0.502 ± 0.09;0.522 ± 0.069
hepatitis;20;0.405 ± 0.063;0.456 ± 0.076;0.45 ± 0.033;0.535 ± 0.046
hepatitis;40;0.4 ± 0.039;1.703 ± 2.202;0.494 ± 0.105;0.578 ± 0.028
iris;5;0.12 ± 0.062;0.113 ± 0.041;0.179 ± 0.15;0.588 ± 0.047
iris;20;0.235 ± 0.049;0.156 ± 0.027;0.232 ± 0.063;0.445 ± 0.093
iris;40;0.285 ± 0.036;0.248 ± 0.07;0.306 ± 0.069;0.541 ± 0.03
liver;5;0.088 ± 0.047;0.075 ± 0.046;0.131 ± 0.063;0.35 ± 0.098
liver;20;0.103 ± 0.061;0.09 ± 0.043;0.147 ± 0.071;0.345 ± 0.064
liver;40;0.109 ± 0.035;0.142 ± 0.072;0.196 ± 0.096;0.39 ± 0.09
mathernal-risk;5;0.084 ± 0.014;0.12 ± 0.026;0.214 ± 0.059;0.404 ± 0.127
