Dataset;Missing Rate;KNN;MICE;SOFTIMPUTE;GAIN
acute-inflammations;5;0.518 ± 0.188;0.439 ± 0.091;0.363 ± 0.19;0.513 ± 0.234
acute-inflammations;20;0.592 ± 0.065;0.549 ± 0.041;0.333 ± 0.066;0.616 ± 0.114
acute-inflammations;40;0.655 ± 0.069;0.655 ± 0.07;0.356 ± 0.03;0.609 ± 0.078
autism-adolescent;5;0.661 ± 0.141;0.653 ± 0.119;0.665 ± 0.101;0.602 ± 0.151
autism-adolescent;20;0.62 ± 0.029;0.602 ± 0.033;0.532 ± 0.051;0.687 ± 0.027
autism-adolescent;40;0.579 ± 0.042;0.588 ± 0.056;0.489 ± 0.076;0.61 ± 0.046
autism-adult;5;0.554 ± 0.053;0.557 ± 0.032;0.499 ± 0.05;0.383 ± 0.089
autism-adult;20;0.503 ± 0.031;0.403 ± 0.014;0.419 ± 0.035;0.493 ± 0.037
autism-adult;40;0.588 ± 0.024;0.555 ± 0.012;0.469 ± 0.026;0.536 ± 0.019
autism-child;5;0.58 ± 0.075;0.401 ± 0.07;0.56 ± 0.088;0.539 ± 0.047
autism-child;20;0.644 ± 0.023;0.626 ± 0.028;0.579 ± 0.041;0.61 ± 0.039
autism-child;40;0.653 ± 0.029;0.623 ± 0.032;0.55 ± 0.049;0.621 ± 0.03
bc-coimbra;5;0.19 ± 0.032;0.185 ± 0.043;0.184 ± 0.038;0.367 ± 0.075
bc-coimbra;20;0.21 ± 0.044;0.21 ± 0.03;0.172 ± 0.064;0.381 ± 0.112
bc-coimbra;40;0.235 ± 0.051;0.267 ± 0.036;0.161 ± 0.052;0.528 ± 0.086
blood-transfusion;5;0.128 ± 0.064;0.129 ± 0.005;0.036 ± 0.017;0.375 ± 0.159
blood-transfusion;20;0.227 ± 0.058;0.167 ± 0.016;0.052 ± 0.04;0.46 ± 0.141
blood-transfusion;40;0.199 ± 0.022;0.192 ± 0.016;0.068 ± 0.016;0.346 ± 0.155
contraceptive-methods;5;0.55 ± 0.027;0.525 ± 0.013;0.511 ± 0.035;0.638 ± 0.076
contraceptive-methods;20;0.56 ± 0.016;0.512 ± 0.011;0.481 ± 0.034;0.671 ± 0.066
contraceptive-methods;40;0.486 ± 0.022;0.438 ± 0.011;0.37 ± 0.026;0.564 ± 0.071
diabetic;5;0.35 ± 0.012;0.294 ± 0.012;0.211 ± 0.028;0.373 ± 0.044
diabetic;20;0.29 ± 0.009;0.29 ± 0.01;0.234 ± 0.048;0.358 ± 0.046
diabetic;40;0.339 ± 0.012;0.386 ± 0.031;0.255 ± 0.05;0.4 ± 0.047
echocardiogram;5;0.269 ± 0.061;0.251 ± 0.018;0.3 ± 0.118;0.421 ± 0.142
echocardiogram;20;0.319 ± 0.045;0.3 ± 0.054;0.304 ± 0.087;0.549 ± 0.116
echocardiogram;40;0.365 ± 0.049;0.388 ± 0.078;0.276 ± 0.047;0.633 ± 0.09
fertility;5;0.384 ± 0.088;0.38 ± 0.064;0.306 ± 0.083;0.443 ± 0.124
fertility;20;0.428 ± 0.046;0.387 ± 0.029;0.362 ± 0.061;0.499 ± 0.074
fertility;40;0.53 ± 0.047;0.549 ± 0.07;0.337 ± 0.053;0.553 ± 0.055
german-credit;5;0.22 ± 0.02;0.264 ± 0.042;0.287 ± 0.025;0.251 ± 0.021
german-credit;20;0.413 ± 0.007;0.299 ± 0.021;0.316 ± 0.029;0.33 ± 0.019
