Dataset;Missing Rate;KNN;MICE;SOFTIMPUTE;GAIN
acute-inflammations;5;0.542 ± 0.162;0.579 ± 0.118;0.232 ± 0.147;0.367 ± 0.217
acute-inflammations;20;0.668 ± 0.124;0.624 ± 0.135;0.245 ± 0.188;0.551 ± 0.113
acute-inflammations;40;0.757 ± 0.085;0.651 ± 0.099;0.332 ± 0.133;0.675 ± 0.081
autism-adolescent;5;0.659 ± 0.122;0.216 ± 0.148;0.448 ± 0.102;0.582 ± 0.143
autism-adolescent;20;0.721 ± 0.011;0.686 ± 0.032;0.506 ± 0.093;0.559 ± 0.148
autism-adolescent;40;0.628 ± 0.065;0.639 ± 0.11;0.479 ± 0.056;0.598 ± 0.04
autism-adult;5;0.303 ± 0.023;0.135 ± 0.011;0.264 ± 0.056;0.406 ± 0.08
autism-adult;20;0.461 ± 0.031;0.171 ± 0.011;0.34 ± 0.033;0.48 ± 0.12
autism-adult;40;0.634 ± 0.009;0.584 ± 0.01;0.415 ± 0.024;0.557 ± 0.062
autism-child;5;0.489 ± 0.06;0.143 ± 0.022;0.463 ± 0.055;0.471 ± 0.119
autism-child;20;0.73 ± 0.036;0.633 ± 0.048;0.54 ± 0.095;0.516 ± 0.109
autism-child;40;0.679 ± 0.024;0.666 ± 0.023;0.49 ± 0.082;0.618 ± 0.092
bc-coimbra;5;0.198 ± 0.021;0.196 ± 0.032;0.159 ± 0.052;0.467 ± 0.14
bc-coimbra;20;0.206 ± 0.039;0.207 ± 0.022;0.149 ± 0.036;0.603 ± 0.121
bc-coimbra;40;0.236 ± 0.049;0.266 ± 0.038;0.14 ± 0.035;0.576 ± 0.209
blood-transfusion;5;0.079 ± 0.026;0.126 ± 0.007;0.03 ± 0.021;0.552 ± 0.222
blood-transfusion;20;0.179 ± 0.079;0.165 ± 0.016;0.059 ± 0.022;0.523 ± 0.211
blood-transfusion;40;0.181 ± 0.019;0.19 ± 0.016;0.067 ± 0.01;0.706 ± 0.147
contraceptive-methods;5;0.484 ± 0.012;0.483 ± 0.008;0.469 ± 0.034;0.49 ± 0.108
contraceptive-methods;20;0.497 ± 0.029;0.465 ± 0.027;0.41 ± 0.035;0.576 ± 0.099
contraceptive-methods;40;0.416 ± 0.015;0.399 ± 0.017;0.318 ± 0.019;0.625 ± 0.027
diabetic;5;0.164 ± 0.009;0.164 ± 0.009;0.171 ± 0.028;0.463 ± 0.027
diabetic;20;0.159 ± 0.01;0.134 ± 0.007;0.157 ± 0.025;0.443 ± 0.029
diabetic;40;0.188 ± 0.007;0.151 ± 0.004;0.162 ± 0.032;0.412 ± 0.021
echocardiogram;5;0.241 ± 0.11;0.233 ± 0.084;0.175 ± 0.05;0.481 ± 0.186
echocardiogram;20;0.284 ± 0.058;0.255 ± 0.067;0.206 ± 0.072;0.545 ± 0.142
echocardiogram;40;0.314 ± 0.028;0.318 ± 0.043;0.225 ± 0.054;0.597 ± 0.036
fertility;5;0.365 ± 0.085;0.373 ± 0.067;0.45 ± 0.103;0.53 ± 0.099
fertility;20;0.399 ± 0.052;0.351 ± 0.07;0.343 ± 0.047;0.531 ± 0.033
fertility;40;0.493 ± 0.06;0.447 ± 0.078;0.344 ± 0.023;0.527 ± 0.062
german-credit;5;0.174 ± 0.011;0.093 ± 0.007;0.197 ± 0.008;0.428 ± 0.079
german-credit;20;0.364 ± 0.022;0.161 ± 0.016;0.208 ± 0.011;0.42 ± 0.046
german-credit;40;0.548 ± 0.009;0.327 ± 0.013;0.207 ± 0.004;0.459 ± 0.029
haberman;5;0.271 ± 0.07;0.28 ± 0.084;0.205 ± 0.08;0.531 ± 0.198
haberman;20;0.291 ± 0.074;0.294 ± 0.08;0.204 ± 0.087;0.596 ± 0.205
haberman;40;0.315 ± 0.081;0.342 ± 0.099;0.22 ± 0.113;0.527 ± 0.279
hcv-egyptian;5;0.488 ± 0.011;0.593 ± 0.01;0.488 ± 0.02;0.467 ± 0.049
