Dataset;Missing rate;F1-score;Accuracy;AUC
acute-inflammations;5;0.952;0.958;1.0
acute-inflammations;5;0.917;0.917;0.972
acute-inflammations;5;1.0;1.0;1.0
acute-inflammations;5;0.96;0.958;0.944
acute-inflammations;5;0.818;0.833;0.938
acute-inflammations;20;0.857;0.875;0.951
acute-inflammations;20;0.737;0.792;0.896
acute-inflammations;20;0.833;0.833;0.944
acute-inflammations;20;0.636;0.667;0.76
acute-inflammations;20;0.571;0.625;0.806
acute-inflammations;40;0.957;0.958;1.0
acute-inflammations;40;0.727;0.75;0.747
acute-inflammations;40;0.5;0.583;0.448
acute-inflammations;40;0.741;0.708;0.583
acute-inflammations;40;0.645;0.542;0.653
autism-adolescent;5;0.96;0.952;1.0
autism-adolescent;5;1.0;1.0;1.0
autism-adolescent;5;0.87;0.857;1.0
autism-adolescent;5;1.0;1.0;1.0
autism-adolescent;5;0.96;0.95;1.0
autism-adolescent;20;1.0;1.0;1.0
autism-adolescent;20;0.786;0.714;0.846
autism-adolescent;20;0.783;0.762;0.875
autism-adolescent;20;1.0;1.0;1.0
autism-adolescent;20;0.857;0.8;0.948
autism-adolescent;40;0.96;0.952;1.0
autism-adolescent;40;0.96;0.952;1.0
autism-adolescent;40;0.571;0.571;0.591
autism-adolescent;40;0.897;0.857;0.913
autism-adolescent;40;0.828;0.75;0.635
autism-adult;5;1.0;1.0;1.0
autism-adult;5;1.0;1.0;1.0
autism-adult;5;1.0;1.0;1.0
autism-adult;5;1.0;1.0;1.0
autism-adult;5;1.0;1.0;1.0
autism-adult;20;1.0;1.0;1.0
autism-adult;20;0.96;0.979;0.998
autism-adult;20;1.0;1.0;1.0
autism-adult;20;0.987;0.993;1.0
autism-adult;20;1.0;1.0;1.0
autism-adult;40;0.974;0.986;0.999
autism-adult;40;0.974;0.986;0.999
autism-adult;40;0.987;0.993;1.0
autism-adult;40;0.987;0.993;0.999
autism-adult;40;0.962;0.979;0.991
autism-child;5;1.0;1.0;1.0
autism-child;5;1.0;1.0;1.0
autism-child;5;0.756;0.81;0.804
autism-child;5;1.0;1.0;1.0
autism-child;5;1.0;1.0;1.0
autism-child;20;0.949;0.948;0.987
autism-child;20;0.947;0.948;0.974
autism-child;20;0.389;0.621;0.828
autism-child;20;1.0;1.0;1.0
autism-child;20;0.982;0.982;1.0
autism-child;40;0.966;0.966;1.0
autism-child;40;0.933;0.931;0.976
autism-child;40;0.111;0.448;0.429
autism-child;40;0.982;0.982;0.99
autism-child;40;0.933;0.93;0.99
bc-coimbra;5;0.786;0.75;0.727
bc-coimbra;5;0.69;0.609;0.72
bc-coimbra;5;0.788;0.696;0.692
bc-coimbra;5;0.769;0.739;0.808
bc-coimbra;5;0.133;0.435;0.554
bc-coimbra;20;0.56;0.542;0.601
bc-coimbra;20;0.571;0.478;0.447
bc-coimbra;20;0.722;0.565;0.646
bc-coimbra;20;0.692;0.652;0.669
bc-coimbra;20;0.235;0.435;0.569
bc-coimbra;40;0.4;0.5;0.566
bc-coimbra;40;0.69;0.609;0.621
bc-coimbra;40;0.667;0.522;0.608
bc-coimbra;40;0.69;0.609;0.569
bc-coimbra;40;0.5;0.565;0.569
blood-transfusion;5;0.434;0.427;0.743
blood-transfusion;5;0.24;0.62;0.504
blood-transfusion;5;0.37;0.773;0.638
blood-transfusion;5;0.349;0.624;0.605
blood-transfusion;5;0.351;0.752;0.661
blood-transfusion;20;0.408;0.613;0.674
blood-transfusion;20;0.237;0.7;0.554
blood-transfusion;20;0.473;0.807;0.707
blood-transfusion;20;0.247;0.631;0.558
blood-transfusion;20;0.361;0.738;0.728
blood-transfusion;40;0.536;0.653;0.76
blood-transfusion;40;0.17;0.74;0.54
blood-transfusion;40;0.4;0.76;0.534
blood-transfusion;40;0.306;0.664;0.57
blood-transfusion;40;0.226;0.725;0.731
contraceptive-methods;5;0.512;0.512;0.641
contraceptive-methods;5;0.495;0.495;0.692
contraceptive-methods;5;0.522;0.522;0.668
contraceptive-methods;5;0.52;0.52;0.708
contraceptive-methods;5;0.514;0.514;0.688
contraceptive-methods;20;0.454;0.454;0.643
contraceptive-methods;20;0.458;0.458;0.647
contraceptive-methods;20;0.502;0.502;0.654
contraceptive-methods;20;0.49;0.49;0.667
contraceptive-methods;20;0.49;0.49;0.669
contraceptive-methods;40;0.488;0.488;0.649
contraceptive-methods;40;0.458;0.458;0.64
contraceptive-methods;40;0.464;0.464;0.627
contraceptive-methods;40;0.456;0.456;0.637
contraceptive-methods;40;0.507;0.507;0.666
diabetic;5;0.738;0.714;0.777
diabetic;5;0.633;0.622;0.698
diabetic;5;0.696;0.674;0.751
diabetic;5;0.699;0.674;0.725
diabetic;5;0.669;0.604;0.664
diabetic;20;0.669;0.649;0.705
diabetic;20;0.67;0.67;0.705
diabetic;20;0.725;0.7;0.764
diabetic;20;0.675;0.648;0.714
diabetic;20;0.667;0.596;0.664
diabetic;40;0.654;0.619;0.689
diabetic;40;0.664;0.63;0.689
diabetic;40;0.681;0.674;0.688
diabetic;40;0.648;0.626;0.662
diabetic;40;0.669;0.648;0.682
echocardiogram;5;1.0;1.0;1.0
echocardiogram;5;0.857;0.917;0.969
echocardiogram;5;0.8;0.833;1.0
echocardiogram;5;0.857;0.917;0.844
echocardiogram;5;1.0;1.0;1.0
echocardiogram;20;0.889;0.923;1.0
echocardiogram;20;0.857;0.917;0.906
echocardiogram;20;0.8;0.833;0.938
echocardiogram;20;0.857;0.917;0.797
echocardiogram;20;0.889;0.917;1.0
echocardiogram;40;0.75;0.846;0.925
echocardiogram;40;0.444;0.583;0.719
echocardiogram;40;0.571;0.75;0.812
echocardiogram;40;0.571;0.75;0.688
echocardiogram;40;0.8;0.833;0.938
fertility;5;0.0;0.45;0.333
fertility;5;0.667;0.95;0.528
fertility;5;0.8;0.95;0.972
fertility;5;0.0;0.85;0.863
fertility;5;0.0;0.75;0.373
fertility;20;0.167;0.5;0.417
fertility;20;0.0;0.9;0.556
fertility;20;0.667;0.95;0.972
fertility;20;0.0;0.85;0.804
fertility;20;0.0;0.85;0.48
fertility;40;0.0;0.75;0.417
fertility;40;0.0;0.9;0.861
fertility;40;0.0;0.9;0.944
fertility;40;0.0;0.85;0.706
fertility;40;0.0;0.85;0.647
german-credit;5;0.566;0.77;0.747
german-credit;5;0.552;0.765;0.749
german-credit;5;0.577;0.765;0.803
german-credit;5;0.542;0.755;0.78
german-credit;5;0.631;0.795;0.801
german-credit;20;0.481;0.73;0.685
german-credit;20;0.544;0.765;0.767
german-credit;20;0.517;0.71;0.783
german-credit;20;0.526;0.73;0.753
german-credit;20;0.48;0.74;0.746
german-credit;40;0.434;0.7;0.716
german-credit;40;0.404;0.69;0.655
german-credit;40;0.404;0.72;0.733
german-credit;40;0.429;0.72;0.696
german-credit;40;0.444;0.7;0.71
haberman;5;0.0;0.726;0.582
haberman;5;0.444;0.672;0.665
haberman;5;0.467;0.738;0.665
haberman;5;0.19;0.721;0.664
haberman;5;0.296;0.689;0.502
