Dataset;Missing rate;F1-score;Accuracy;AUC
acute-inflammations;5;1.0;1.0;1.0
acute-inflammations;5;0.8;0.833;0.986
acute-inflammations;5;0.917;0.917;0.965
acute-inflammations;5;0.917;0.917;0.958
acute-inflammations;5;0.556;0.667;0.868
acute-inflammations;20;0.8;0.833;0.944
acute-inflammations;20;0.762;0.792;0.889
acute-inflammations;20;0.696;0.708;0.698
acute-inflammations;20;0.846;0.833;0.896
acute-inflammations;20;0.696;0.708;0.799
acute-inflammations;40;0.316;0.458;0.608
acute-inflammations;40;0.727;0.75;0.806
acute-inflammations;40;0.4;0.5;0.278
acute-inflammations;40;0.636;0.667;0.684
acute-inflammations;40;0.833;0.833;0.868
autism-adolescent;5;1.0;1.0;1.0
autism-adolescent;5;0.963;0.952;1.0
autism-adolescent;5;0.87;0.857;0.99
autism-adolescent;5;0.963;0.952;1.0
autism-adolescent;5;0.96;0.95;1.0
autism-adolescent;20;0.96;0.952;1.0
autism-adolescent;20;1.0;1.0;1.0
autism-adolescent;20;0.783;0.762;0.933
autism-adolescent;20;0.963;0.952;1.0
autism-adolescent;20;0.8;0.75;0.917
autism-adolescent;40;0.923;0.905;0.991
autism-adolescent;40;0.917;0.905;1.0
autism-adolescent;40;0.3;0.333;0.385
autism-adolescent;40;0.963;0.952;0.971
autism-adolescent;40;0.769;0.7;0.573
autism-adult;5;1.0;1.0;1.0
autism-adult;5;1.0;1.0;1.0
autism-adult;5;1.0;1.0;1.0
autism-adult;5;1.0;1.0;1.0
autism-adult;5;1.0;1.0;1.0
autism-adult;20;1.0;1.0;1.0
autism-adult;20;1.0;1.0;1.0
autism-adult;20;1.0;1.0;1.0
autism-adult;20;1.0;1.0;1.0
autism-adult;20;1.0;1.0;1.0
autism-adult;40;0.974;0.986;0.992
autism-adult;40;1.0;1.0;1.0
autism-adult;40;0.987;0.993;0.999
autism-adult;40;1.0;1.0;1.0
autism-adult;40;1.0;1.0;1.0
autism-child;5;1.0;1.0;1.0
autism-child;5;1.0;1.0;1.0
autism-child;5;0.756;0.81;0.804
autism-child;5;1.0;1.0;1.0
autism-child;5;1.0;1.0;1.0
autism-child;20;0.982;0.983;1.0
autism-child;20;0.982;0.983;0.973
autism-child;20;0.756;0.81;0.869
autism-child;20;0.982;0.982;0.988
autism-child;20;0.982;0.982;1.0
autism-child;40;0.966;0.966;0.987
autism-child;40;1.0;1.0;1.0
autism-child;40;0.216;0.5;0.554
autism-child;40;1.0;1.0;1.0
autism-child;40;1.0;1.0;1.0
bc-coimbra;5;0.692;0.667;0.706
bc-coimbra;5;0.692;0.652;0.674
bc-coimbra;5;0.765;0.652;0.708
bc-coimbra;5;0.786;0.739;0.777
bc-coimbra;5;0.133;0.435;0.577
bc-coimbra;20;0.714;0.667;0.783
bc-coimbra;20;0.593;0.522;0.545
bc-coimbra;20;0.722;0.565;0.677
bc-coimbra;20;0.75;0.739;0.746
bc-coimbra;20;0.118;0.348;0.523
bc-coimbra;40;0.435;0.458;0.392
bc-coimbra;40;0.571;0.478;0.485
bc-coimbra;40;0.667;0.522;0.415
bc-coimbra;40;0.667;0.609;0.631
bc-coimbra;40;0.316;0.435;0.408
blood-transfusion;5;0.429;0.413;0.719
blood-transfusion;5;0.346;0.647;0.632
blood-transfusion;5;0.269;0.747;0.584
blood-transfusion;5;0.425;0.691;0.606
blood-transfusion;5;0.353;0.779;0.68
blood-transfusion;20;0.364;0.58;0.587
blood-transfusion;20;0.167;0.667;0.6
blood-transfusion;20;0.28;0.76;0.7
blood-transfusion;20;0.333;0.678;0.623
blood-transfusion;20;0.302;0.752;0.653
blood-transfusion;40;0.553;0.72;0.691
blood-transfusion;40;0.073;0.66;0.524
