Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline,target
0.5710525,0.27075097,0.50802135,0.49999997,0.2424657,0.4310345,0.4156118,0.8490566,0.29968452,0.27021277,0.23931625,0.8241759,0.40420827,0
0.45263165,0.31818178,0.8342246,0.7577319,0.62602735,0.46551728,0.43037975,1.2075472,0.38170344,0.27659574,0.2478632,0.5970697,0.39350924,0
0.5421054,0.26284584,0.51336896,0.29896906,0.20136985,0.5413793,0.39481935,0.9622642,0.2334385,0.40638298,0.068376094,0.6043957,0.6538516,0
0.5184211,0.2529644,0.57754016,0.3453608,0.21506843,0.38620692,0.32700425,0.83018863,0.20189275,0.31595746,0.15384617,0.43956044,0.71804565,0
0.668421,0.28853756,0.6096257,0.46907207,0.39315066,0.5758621,0.49156117,1.018868,0.33123028,0.3744681,0.35042736,0.67032975,0.45413694,0
0.70789474,0.24505928,0.6149732,0.2938144,0.2424657,0.47241384,0.4456677,0.8113208,0.40063095,0.39574468,0.17094019,0.73992676,0.53972894,0
0.6315791,0.20948616,0.5561497,0.62886596,0.31095883,0.59310347,0.5506329,0.86792445,0.5268139,0.50212765,0.2991453,0.41758242,0.71804565,0
0.5921051,0.24110672,0.3743315,0.45360824,0.37945196,0.5448276,0.5379747,0.735849,0.39116722,0.6297872,0.21367523,0.47985354,0.88209695,0
0.618421,0.27470356,0.3743315,0.35567012,0.3520548,0.39310348,0.43248945,1.1132076,0.39747638,0.3042553,0.33333334,0.47619048,0.50763196,0
0.6394736,0.215415,0.5561497,0.4742268,0.73561645,0.5758621,0.443038,1.264151,0.20189275,0.47021276,0.35042736,0.52380955,0.6823823,0
0.57368416,0.2687747,0.5294118,0.44845358,0.4342465,0.3689655,0.39873418,0.86792445,0.26182964,0.3425532,0.22222224,0.47619048,0.58252496,0
0.56578964,0.27075097,0.40106955,0.52577317,0.29726025,0.4896552,0.49367088,0.8113208,0.362776,0.43829787,0.17094019,0.6959707,0.45770326,0
0.24210519,0.243083,0.83422446,0.80927837,0.14109597,0.28342173,0.20464134,1.0754716,0.19873817,0.1877531,0.4444444,0.6007326,0.20278172,1
0.08157891,0.20158103,0.4278076,0.55154645,0.08630142,0.43793106,0.34810126,0.094339624,0.39116716,-0.110467926,0.6495726,0.6520147,0.08534757,1
0.35526317,0.17588931,0.66310155,0.685567,-0.10547938,0.31724143,0.20042193,1.1132076,0.21135648,0.080851056,0.19658121,0.33630186,-0.021435905,1
0.35526317,0.27470356,0.67379665,0.42268035,0.04520557,0.1103448,0.1814346,1.3018868,0.2933754,0.15106383,0.20512822,0.25641027,0.08885717,1
0.33421057,0.21146244,0.72727275,0.6030928,0.1136987,0.058620725,0.12869199,1.264151,0.29022083,0.2787234,0.1794872,0.39560446,0.12289585,1
0.51578945,0.215415,0.64171124,0.5360825,0.031506874,0.03448278,0.1729958,1.4150944,0.28706625,0.22021276,0.102564126,0.1794872,0.06724018,1
0.41052645,0.472332,0.6203208,0.39690718,0.14109597,0.40344828,0.33966246,0.7924528,0.40378553,0.12446808,0.26495728,0.6336997,0.008773176,1
0.23421043,0.3063241,0.65240633,0.39690718,0.27808222,0.6,0.34177217,0.6415094,0.20189275,0.23237589,0.2735043,0.5091576,0.04800285,1
0.30000013,0.21343872,0.6096257,0.44845358,1.1465752,0.42068964,0.34388188,0.92452836,0.81072557,0.17234042,0.2735043,0.38827845,0.4698288,1
0.28421038,0.33201578,0.89839566,0.5773196,0.77123296,0.1103448,0.073839664,0.5849057,0.2681388,0.16170213,0.09401706,0.25274727,0.24771754,1
0.41052645,0.19169962,0.49197856,0.2938144,0.1,0.43793106,0.33522946,0.86792445,0.33438486,0.20425534,0.33333334,0.42857143,0.107203975,1
0.2736842,0.0059288624,0.23529406,0.39175263,0.14109597,0.9793103,0.7827005,0.18576068,0.58044165,0.31063828,0.39908952,0.87928945,0.27225393,1
0.41052645,0.5395257,0.6149732,0.39690718,0.14109597,0.5413793,0.4957806,1.1698114,0.66246057,0.14042553,0.4957265,0.46153846,0.09151213,1
0.19736832,0.2055336,0.0213904,0.34020624,0.26438364,0.5344827,0.41176003,0.20401993,0.40694004,0.06661381,0.39364862,0.7289378,0.30791727,1
0.72894734,0.52964425,0.83422446,0.7061856,0.620548,0.4008328,0.19620252,0.735849,0.17034699,0.81063825,-0.21367522,-0.09890109,0.15855919,2
0.5421054,0.44071144,0.7593583,0.6030928,0.46986303,0.33578578,0.15189873,0.77358496,0.17350157,1.0446808,-0.3076923,-0.03663,0.14429386,2
0.6263158,0.28853756,0.90374327,0.7835052,0.5246576,0.31724143,0.1350211,0.8113208,0.2681388,0.65106386,-0.19658118,-0.08791211,0.1050642,2
0.5000002,0.4466403,0.33155087,0.39175263,0.27808222,0.38620687,0.16666667,0.33962268,0.55520505,0.9510638,0.2735043,0.19780216,0.28295293,2
0.32894725,0.049407113,0.23529406,0.4690722,0.34657535,0.27586204,0.11392406,0.40009606,0.40694004,0.64042556,0.23539226,0.19553635,0.25798857,2
0.48421043,0.82015806,0.3529412,0.572165,0.2095891,0.3655172,0.12447257,0.33962268,0.45425862,0.6723404,0.30769226,0.18681315,0.31861624,2
0.81842107,0.72727275,0.7058823,0.4742268,0.15479454,0.17931032,0.040084384,1.226415,0.2681388,0.8542554,-0.23076922,0.025641026,0.14429386,2
0.2947368,0.5118577,0.5240642,0.8298969,0.25616428,0.1886848,-0.012658227,0.37735856,0.13564669,0.6297872,-0.14529914,0.05860809,0.4291726,2
0.79210514,0.12648222,0.5561497,0.72680414,0.27808222,0.7310344,0.26793247,0.18867926,0.81703466,1.2148936,0.2820513,0.24684525,0.27225393,2
0.72368425,0.243083,0.8449198,0.62886596,0.15479454,0.45517242,0.09704642,1.3018868,0.49842268,1.1457447,-0.23076922,0.0769231,0.24415122,2
