,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mice,acute-inflammations,5,0.438,0.139
1,mice,acute-inflammations,20,0.389,0.13
2,mice,acute-inflammations,40,0.578,0.086
3,mice,autism-adolescent,5,0.512,0.107
4,mice,autism-adolescent,20,0.492,0.067
5,mice,autism-adolescent,40,0.466,0.078
6,mice,autism-adult,5,0.379,0.067
7,mice,autism-adult,20,0.401,0.027
8,mice,autism-adult,40,0.431,0.018
9,mice,autism-child,5,0.446,0.073
10,mice,autism-child,20,0.438,0.048
11,mice,autism-child,40,0.471,0.026
12,mice,bc-coimbra,5,0.186,0.087
13,mice,bc-coimbra,20,0.203,0.081
14,mice,bc-coimbra,40,0.277,0.102
15,mice,blood-transfusion,5,0.069,0.063
16,mice,blood-transfusion,20,0.061,0.043
17,mice,blood-transfusion,40,0.072,0.032
18,mice,contraceptive-methods,5,0.261,0.075
19,mice,contraceptive-methods,20,0.266,0.038
20,mice,contraceptive-methods,40,0.37,0.115
21,mice,diabetic,5,0.363,0.1
22,mice,diabetic,20,0.431,0.151
23,mice,diabetic,40,0.324,0.075
24,mice,echocardiogram,5,0.252,0.088
25,mice,echocardiogram,20,0.257,0.041
26,mice,echocardiogram,40,0.421,0.209
27,mice,fertility,5,0.433,0.069
28,mice,fertility,20,0.359,0.077
29,mice,fertility,40,0.918,0.782
30,mice,german-credit,5,0.307,0.013
31,mice,german-credit,20,0.317,0.02
32,mice,german-credit,40,1.897,3.213
33,mice,haberman,5,0.172,0.134
34,mice,haberman,20,0.146,0.082
35,mice,haberman,40,0.152,0.093
36,mice,hcv-egyptian,5,0.33,0.036
37,mice,hcv-egyptian,20,0.326,0.039
38,mice,hcv-egyptian,40,0.406,0.073
39,mice,heart-cleveland,5,0.241,0.061
40,mice,heart-cleveland,20,0.264,0.078
41,mice,heart-cleveland,40,0.279,0.015
42,mice,hepatitis,5,0.409,0.088
43,mice,hepatitis,20,0.456,0.076
44,mice,hepatitis,40,1.703,2.202
45,mice,iris,5,0.113,0.041
46,mice,iris,20,0.156,0.027
47,mice,iris,40,0.248,0.07
48,mice,liver,5,0.075,0.046
49,mice,liver,20,0.09,0.043
50,mice,liver,40,0.142,0.072
51,mice,mathernal-risk,5,0.12,0.026
52,mice,mathernal-risk,20,0.169,0.014
53,mice,mathernal-risk,40,0.443,0.314
54,mice,npha,5,0.28,0.056
55,mice,npha,20,0.3,0.067
56,mice,npha,40,0.426,0.166
