Dataset,fold,F1-score,Accuracy,Recall,AUC
acute-inflammations,0,0.536,0.536,0.536,0.707
acute-inflammations,1,0.519,0.519,0.519,0.712
acute-inflammations,2,0.485,0.485,0.485,0.688
acute-inflammations,3,0.534,0.534,0.534,0.727
acute-inflammations,4,0.52,0.52,0.52,0.688
autism-adolescent,0,0.734,0.706,0.764,0.802
autism-adolescent,1,0.71,0.709,0.672,0.787
autism-adolescent,2,0.746,0.739,0.721,0.807
autism-adolescent,3,0.683,0.652,0.705,0.709
autism-adolescent,4,0.7,0.691,0.68,0.782
autism-adult,0,0.889,0.923,0.8,0.975
autism-adult,1,0.857,0.917,0.75,0.969
autism-adult,2,0.889,0.917,1.0,0.969
autism-adult,3,0.857,0.917,0.75,0.75
autism-adult,4,1.0,1.0,1.0,1.0
autism-child,0,0.0,0.65,0.0,0.639
autism-child,1,0.0,0.9,0.0,0.861
autism-child,2,0.667,0.95,0.5,0.972
autism-child,3,0.5,0.9,0.333,0.843
autism-child,4,0.0,0.85,0.0,0.49
bc-coimbra,0,0.53,0.725,0.517,0.737
bc-coimbra,1,0.55,0.755,0.5,0.764
bc-coimbra,2,0.451,0.72,0.383,0.791
bc-coimbra,3,0.602,0.775,0.567,0.788
bc-coimbra,4,0.607,0.78,0.567,0.794
blood-transfusion,0,0.0,0.726,0.0,0.631
blood-transfusion,1,0.449,0.557,0.688,0.572
blood-transfusion,2,0.429,0.607,0.562,0.71
blood-transfusion,3,0.111,0.738,0.062,0.689
blood-transfusion,4,0.424,0.689,0.438,0.653
contraceptive-methods,0,0.224,0.224,0.224,0.482
contraceptive-methods,1,0.26,0.26,0.26,0.516
contraceptive-methods,2,0.231,0.231,0.231,0.471
contraceptive-methods,3,0.199,0.199,0.199,0.446
contraceptive-methods,4,0.227,0.227,0.227,0.478
diabetic,0,0.841,0.82,0.879,0.909
diabetic,1,0.812,0.803,0.788,0.91
diabetic,2,0.774,0.77,0.727,0.891
diabetic,3,0.794,0.783,0.758,0.869
diabetic,4,0.811,0.767,0.909,0.86
echocardiogram,0,0.933,0.875,1.0,0.929
echocardiogram,1,0.929,0.875,0.929,0.786
echocardiogram,2,0.923,0.875,0.923,0.897
echocardiogram,3,0.963,0.938,1.0,0.744
echocardiogram,4,0.87,0.812,0.769,0.949
fertility,0,0.967,0.967,0.967,0.952
fertility,1,0.967,0.967,0.967,0.997
fertility,2,0.933,0.933,0.933,0.95
fertility,3,0.933,0.933,0.933,0.987
fertility,4,0.967,0.967,0.967,0.993
german-credit,0,0.464,0.741,0.394,0.689
german-credit,1,0.475,0.733,0.424,0.711
german-credit,2,0.444,0.655,0.485,0.657
german-credit,3,0.43,0.612,0.515,0.631
german-credit,4,0.458,0.774,0.333,0.817
haberman,0,0.911,0.911,0.911,0.979
haberman,1,0.734,0.734,0.734,0.874
haberman,2,0.788,0.788,0.788,0.922
haberman,3,0.759,0.759,0.759,0.925
haberman,4,0.876,0.876,0.876,0.979
hcv-egyptian,0,0.371,0.371,0.371,0.476
hcv-egyptian,1,0.455,0.455,0.455,0.588
hcv-egyptian,2,0.455,0.455,0.455,0.518
hcv-egyptian,3,0.42,0.42,0.42,0.511
hcv-egyptian,4,0.415,0.415,0.415,0.495
heart-cleveland,0,0.875,0.795,0.933,0.867
heart-cleveland,1,0.909,0.846,1.0,0.522
heart-cleveland,2,0.983,0.974,1.0,0.969
heart-cleveland,3,0.825,0.718,0.897,0.597
heart-cleveland,4,0.879,0.795,1.0,0.914
hepatitis,0,0.816,0.893,0.811,0.958
hepatitis,1,0.836,0.906,0.82,0.957
hepatitis,2,0.811,0.891,0.798,0.953
hepatitis,3,0.843,0.909,0.83,0.958
hepatitis,4,0.835,0.903,0.839,0.959
iris,0,0.617,0.734,0.611,0.777
iris,1,0.614,0.714,0.648,0.764
iris,2,0.557,0.721,0.5,0.773
iris,3,0.717,0.804,0.717,0.857
iris,4,0.586,0.732,0.547,0.796
liver,0,0.167,0.63,0.111,0.626
liver,1,0.369,0.519,0.422,0.561
liver,2,0.521,0.657,0.556,0.682
