,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,softImpute,acute-inflammations,5,0.3,0.183
1,softImpute,acute-inflammations,20,0.44,0.14
2,softImpute,acute-inflammations,40,0.488,0.044
3,softImpute,autism-adolescent,5,0.25,0.05
4,softImpute,autism-adolescent,20,0.37,0.071
5,softImpute,autism-adolescent,40,0.372,0.1
6,softImpute,autism-adult,5,0.211,0.033
7,softImpute,autism-adult,20,0.243,0.025
8,softImpute,autism-adult,40,0.283,0.035
9,softImpute,autism-child,5,0.328,0.087
10,softImpute,autism-child,20,0.351,0.042
11,softImpute,autism-child,40,0.436,0.087
12,softImpute,bc-coimbra,5,0.217,0.109
13,softImpute,bc-coimbra,20,0.221,0.077
14,softImpute,bc-coimbra,40,0.227,0.112
15,softImpute,blood-transfusion,5,0.093,0.061
16,softImpute,blood-transfusion,20,0.099,0.046
17,softImpute,blood-transfusion,40,0.13,0.076
18,softImpute,contraceptive-methods,5,0.35,0.039
19,softImpute,contraceptive-methods,20,0.348,0.072
20,softImpute,contraceptive-methods,40,0.412,0.105
21,softImpute,diabetic,5,0.132,0.028
22,softImpute,diabetic,20,0.148,0.055
23,softImpute,diabetic,40,0.167,0.04
24,softImpute,echocardiogram,5,0.255,0.145
25,softImpute,echocardiogram,20,0.281,0.04
26,softImpute,echocardiogram,40,0.281,0.085
27,softImpute,fertility,5,0.409,0.095
28,softImpute,fertility,20,0.335,0.049
29,softImpute,fertility,40,0.293,0.056
30,softImpute,german-credit,5,0.223,0.033
31,softImpute,german-credit,20,0.228,0.026
32,softImpute,german-credit,40,0.239,0.033
33,softImpute,haberman,5,0.219,0.065
34,softImpute,haberman,20,0.201,0.062
35,softImpute,haberman,40,0.222,0.082
36,softImpute,hcv-egyptian,5,0.317,0.016
37,softImpute,hcv-egyptian,20,0.329,0.013
38,softImpute,hcv-egyptian,40,0.352,0.013
39,softImpute,heart-cleveland,5,0.31,0.047
40,softImpute,heart-cleveland,20,0.316,0.047
41,softImpute,heart-cleveland,40,0.325,0.064
42,softImpute,hepatitis,5,0.314,0.092
43,softImpute,hepatitis,20,0.346,0.118
44,softImpute,hepatitis,40,0.385,0.055
45,softImpute,iris,5,0.17,0.117
46,softImpute,iris,20,0.289,0.112
47,softImpute,iris,40,0.342,0.054
48,softImpute,liver,5,0.135,0.06
49,softImpute,liver,20,0.186,0.075
50,softImpute,liver,40,0.178,0.088
51,softImpute,mathernal-risk,5,0.232,0.047
52,softImpute,mathernal-risk,20,0.279,0.074
53,softImpute,mathernal-risk,40,0.312,0.065
54,softImpute,npha,5,0.255,0.061
55,softImpute,npha,20,0.274,0.068
56,softImpute,npha,40,0.303,0.056
57,softImpute,parkinsons,5,0.125,0.046
58,softImpute,parkinsons,20,0.154,0.051
59,softImpute,parkinsons,40,0.192,0.041
60,softImpute,phoneme,5,0.317,0.079
61,softImpute,phoneme,20,0.321,0.028
62,softImpute,phoneme,40,0.295,0.039
63,softImpute,pima-diabetes,5,0.17,0.025
64,softImpute,pima-diabetes,20,0.183,0.031
65,softImpute,pima-diabetes,40,0.191,0.019
66,softImpute,proba_football,5,0.051,0.014
67,softImpute,proba_football,20,0.054,0.012
68,softImpute,proba_football,40,0.052,0.01
69,softImpute,ricci,5,0.249,0.063
70,softImpute,ricci,20,0.288,0.061
71,softImpute,ricci,40,0.375,0.115
72,softImpute,sa-heart,5,0.236,0.082
73,softImpute,sa-heart,20,0.218,0.059
74,softImpute,sa-heart,40,0.24,0.058
75,softImpute,thoracic-surgery,5,0.153,0.039
76,softImpute,thoracic-surgery,20,0.168,0.048
77,softImpute,thoracic-surgery,40,0.165,0.06
78,softImpute,thyroid-recurrence,5,0.152,0.046
79,softImpute,thyroid-recurrence,20,0.211,0.035
80,softImpute,thyroid-recurrence,40,0.288,0.058
81,softImpute,wine,5,0.156,0.045
82,softImpute,wine,20,0.239,0.069
83,softImpute,wine,40,0.271,0.055
84,softImpute,wiscosin,5,0.087,0.025
85,softImpute,wiscosin,20,0.076,0.018
86,softImpute,wiscosin,40,0.1,0.018
