,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,knn,acute-inflammations,5,0.333,0.118
1,knn,acute-inflammations,20,0.399,0.152
2,knn,acute-inflammations,40,0.477,0.051
3,knn,autism-adolescent,5,0.321,0.099
4,knn,autism-adolescent,20,0.284,0.071
5,knn,autism-adolescent,40,0.306,0.034
6,knn,autism-adult,5,0.2,0.03
7,knn,autism-adult,20,0.236,0.024
8,knn,autism-adult,40,0.293,0.008
9,knn,autism-child,5,0.27,0.078
10,knn,autism-child,20,0.348,0.093
11,knn,autism-child,40,0.345,0.044
12,knn,bc-coimbra,5,0.164,0.06
13,knn,bc-coimbra,20,0.194,0.052
14,knn,bc-coimbra,40,0.201,0.064
15,knn,blood-transfusion,5,0.051,0.058
16,knn,blood-transfusion,20,0.07,0.038
17,knn,blood-transfusion,40,0.097,0.011
18,knn,contraceptive-methods,5,0.183,0.05
19,knn,contraceptive-methods,20,0.204,0.028
20,knn,contraceptive-methods,40,0.226,0.02
21,knn,diabetic,5,0.048,0.014
22,knn,diabetic,20,0.061,0.012
23,knn,diabetic,40,0.1,0.017
24,knn,echocardiogram,5,0.224,0.135
25,knn,echocardiogram,20,0.25,0.011
26,knn,echocardiogram,40,0.197,0.04
27,knn,fertility,5,0.233,0.137
28,knn,fertility,20,0.261,0.057
29,knn,fertility,40,0.262,0.033
30,knn,german-credit,5,0.16,0.03
31,knn,german-credit,20,0.162,0.02
32,knn,german-credit,40,0.189,0.024
33,knn,haberman,5,0.147,0.107
34,knn,haberman,20,0.171,0.056
35,knn,haberman,40,0.175,0.083
36,knn,hcv-egyptian,5,0.323,0.008
37,knn,hcv-egyptian,20,0.32,0.009
38,knn,hcv-egyptian,40,0.326,0.008
39,knn,heart-cleveland,5,0.208,0.07
40,knn,heart-cleveland,20,0.204,0.033
41,knn,heart-cleveland,40,0.229,0.037
42,knn,hepatitis,5,0.184,0.042
43,knn,hepatitis,20,0.236,0.065
44,knn,hepatitis,40,0.279,0.035
45,knn,iris,5,0.073,0.035
46,knn,iris,20,0.187,0.062
47,knn,iris,40,0.262,0.023
