,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mice,acute-inflammations,5,0.645,0.151
1,mice,acute-inflammations,20,0.596,0.17
2,mice,acute-inflammations,40,0.672,0.082
3,mice,autism-adolescent,5,0.37,0.288
4,mice,autism-adolescent,20,0.694,0.026
5,mice,autism-adolescent,40,0.631,0.082
6,mice,autism-adult,5,0.127,0.016
7,mice,autism-adult,20,0.15,0.012
8,mice,autism-adult,40,0.528,0.026
9,mice,autism-child,5,0.159,0.059
10,mice,autism-child,20,0.565,0.058
11,mice,autism-child,40,0.664,0.029
12,mice,bc-coimbra,5,0.195,0.032
13,mice,bc-coimbra,20,0.204,0.02
14,mice,bc-coimbra,40,0.268,0.031
15,mice,blood-transfusion,5,0.131,0.012
16,mice,blood-transfusion,20,0.165,0.016
17,mice,blood-transfusion,40,0.19,0.017
18,mice,contraceptive-methods,5,0.48,0.012
19,mice,contraceptive-methods,20,0.464,0.028
20,mice,contraceptive-methods,40,0.403,0.017
21,mice,diabetic,5,0.167,0.006
22,mice,diabetic,20,0.133,0.005
23,mice,diabetic,40,0.154,0.004
24,mice,echocardiogram,5,0.212,0.073
25,mice,echocardiogram,20,0.241,0.073
26,mice,echocardiogram,40,0.343,0.071
27,mice,fertility,5,0.387,0.089
28,mice,fertility,20,0.349,0.053
29,mice,fertility,40,0.435,0.05
30,mice,german-credit,5,0.092,0.007
31,mice,german-credit,20,0.144,0.009
32,mice,german-credit,40,0.262,0.009
