,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mice,acute-inflammations,5,0.439,0.091
1,mice,acute-inflammations,20,0.549,0.041
2,mice,acute-inflammations,40,0.655,0.07
3,mice,autism-adolescent,5,0.653,0.119
4,mice,autism-adolescent,20,0.602,0.033
5,mice,autism-adolescent,40,0.588,0.056
6,mice,autism-adult,5,0.557,0.032
7,mice,autism-adult,20,0.403,0.014
8,mice,autism-adult,40,0.555,0.012
9,mice,autism-child,5,0.401,0.07
10,mice,autism-child,20,0.626,0.028
11,mice,autism-child,40,0.623,0.032
12,mice,bank-marketing,5,1.39,2.301
13,mice,bank-marketing,20,0.406,0.074
14,mice,bank-marketing,40,6626362877.519,14816997773.4
15,mice,bc-coimbra,5,0.185,0.043
16,mice,bc-coimbra,20,0.21,0.03
17,mice,bc-coimbra,40,0.267,0.036
18,mice,blood-transfusion,5,0.129,0.005
19,mice,blood-transfusion,20,0.167,0.016
20,mice,blood-transfusion,40,0.192,0.016
21,mice,contraceptive-methods,5,0.525,0.013
22,mice,contraceptive-methods,20,0.512,0.011
23,mice,contraceptive-methods,40,0.438,0.011
24,mice,diabetic,5,0.294,0.012
25,mice,diabetic,20,0.29,0.01
26,mice,diabetic,40,0.386,0.031
27,mice,echocardiogram,5,0.251,0.018
28,mice,echocardiogram,20,0.3,0.054
29,mice,echocardiogram,40,0.388,0.078
30,mice,fertility,5,0.38,0.064
31,mice,fertility,20,0.387,0.029
32,mice,fertility,40,0.549,0.07
33,mice,german-credit,5,0.264,0.042
34,mice,german-credit,20,0.299,0.021
35,mice,german-credit,40,0.47,0.092
36,mice,haberman,5,0.281,0.082
37,mice,haberman,20,0.295,0.074
38,mice,haberman,40,0.341,0.092
