,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,softImpute,acute-inflammations,5,0.3,0.074
1,softImpute,acute-inflammations,20,0.321,0.141
2,softImpute,acute-inflammations,40,0.519,0.104
3,softImpute,autism-adolescent,5,0.193,0.064
4,softImpute,autism-adolescent,20,0.306,0.08
5,softImpute,autism-adolescent,40,0.407,0.087
6,softImpute,autism-adult,5,0.208,0.048
7,softImpute,autism-adult,20,0.242,0.03
8,softImpute,autism-adult,40,0.296,0.02
9,softImpute,autism-child,5,0.314,0.04
10,softImpute,autism-child,20,0.319,0.053
11,softImpute,autism-child,40,0.442,0.078
12,softImpute,bc-coimbra,5,0.202,0.104
13,softImpute,bc-coimbra,20,0.216,0.066
14,softImpute,bc-coimbra,40,0.255,0.137
15,softImpute,blood-transfusion,5,0.078,0.064
16,softImpute,blood-transfusion,20,0.107,0.05
17,softImpute,blood-transfusion,40,0.123,0.078
18,softImpute,contraceptive-methods,5,0.307,0.048
19,softImpute,contraceptive-methods,20,0.342,0.064
20,softImpute,contraceptive-methods,40,0.425,0.048
21,softImpute,diabetic,5,0.124,0.017
22,softImpute,diabetic,20,0.133,0.014
23,softImpute,diabetic,40,0.147,0.034
24,softImpute,echocardiogram,5,0.355,0.059
25,softImpute,echocardiogram,20,0.297,0.033
26,softImpute,echocardiogram,40,0.248,0.043
27,softImpute,fertility,5,0.398,0.187
28,softImpute,fertility,20,0.391,0.126
29,softImpute,fertility,40,0.329,0.061
30,softImpute,german-credit,5,0.218,0.028
31,softImpute,german-credit,20,0.224,0.025
32,softImpute,german-credit,40,0.242,0.043
33,softImpute,haberman,5,0.205,0.045
34,softImpute,haberman,20,0.203,0.086
35,softImpute,haberman,40,0.208,0.091
36,softImpute,hcv-egyptian,5,0.316,0.008
37,softImpute,hcv-egyptian,20,0.345,0.016
38,softImpute,hcv-egyptian,40,0.365,0.02
39,softImpute,heart-cleveland,5,0.267,0.083
40,softImpute,heart-cleveland,20,0.286,0.026
41,softImpute,heart-cleveland,40,0.314,0.044
42,softImpute,hepatitis,5,0.277,0.087
43,softImpute,hepatitis,20,0.326,0.025
44,softImpute,hepatitis,40,0.38,0.054
45,softImpute,iris,5,0.086,0.025
46,softImpute,iris,20,0.239,0.135
47,softImpute,iris,40,0.32,0.074
48,softImpute,liver,5,0.145,0.072
49,softImpute,liver,20,0.151,0.074
50,softImpute,liver,40,0.217,0.088
51,softImpute,mathernal-risk,5,0.219,0.055
52,softImpute,mathernal-risk,20,0.253,0.036
53,softImpute,mathernal-risk,40,0.278,0.082
54,softImpute,npha,5,0.252,0.061
55,softImpute,npha,20,0.265,0.069
56,softImpute,npha,40,0.304,0.073
57,softImpute,parkinsons,5,0.128,0.055
58,softImpute,parkinsons,20,0.158,0.034
59,softImpute,parkinsons,40,0.184,0.024
60,softImpute,phoneme,5,0.257,0.023
61,softImpute,phoneme,20,0.329,0.033
62,softImpute,phoneme,40,0.298,0.01
63,softImpute,pima-diabetes,5,0.178,0.038
64,softImpute,pima-diabetes,20,0.179,0.008
65,softImpute,pima-diabetes,40,0.188,0.023
66,softImpute,proba_football,5,0.05,0.007
67,softImpute,proba_football,20,0.052,0.011
68,softImpute,proba_football,40,0.051,0.008
69,softImpute,ricci,5,0.294,0.233
70,softImpute,ricci,20,0.459,0.203
71,softImpute,ricci,40,0.354,0.081
72,softImpute,sa-heart,5,0.199,0.046
73,softImpute,sa-heart,20,0.229,0.051
74,softImpute,sa-heart,40,0.272,0.064
75,softImpute,thoracic-surgery,5,0.148,0.024
76,softImpute,thoracic-surgery,20,0.163,0.037
77,softImpute,thoracic-surgery,40,10.88,23.901
78,softImpute,thyroid-recurrence,5,0.131,0.028
79,softImpute,thyroid-recurrence,20,0.205,0.029
80,softImpute,thyroid-recurrence,40,0.261,0.057
81,softImpute,wine,5,0.152,0.041
82,softImpute,wine,20,0.209,0.037
83,softImpute,wine,40,0.256,0.035
