,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,softImpute,acute-inflammations,5,0.3,0.074
1,softImpute,acute-inflammations,20,0.321,0.141
2,softImpute,acute-inflammations,40,0.519,0.104
3,softImpute,autism-adolescent,5,0.193,0.064
4,softImpute,autism-adolescent,20,0.306,0.08
5,softImpute,autism-adolescent,40,0.407,0.087
6,softImpute,autism-adult,5,0.208,0.048
7,softImpute,autism-adult,20,0.242,0.03
8,softImpute,autism-adult,40,0.296,0.02
9,softImpute,autism-child,5,0.314,0.04
10,softImpute,autism-child,20,0.319,0.053
11,softImpute,autism-child,40,0.442,0.078
12,softImpute,bc-coimbra,5,0.202,0.104
13,softImpute,bc-coimbra,20,0.216,0.066
14,softImpute,bc-coimbra,40,0.255,0.137
15,softImpute,blood-transfusion,5,0.078,0.064
16,softImpute,blood-transfusion,20,0.107,0.05
17,softImpute,blood-transfusion,40,0.123,0.078
18,softImpute,contraceptive-methods,5,0.307,0.048
19,softImpute,contraceptive-methods,20,0.342,0.064
20,softImpute,contraceptive-methods,40,0.425,0.048
21,softImpute,diabetic,5,0.124,0.017
22,softImpute,diabetic,20,0.133,0.014
23,softImpute,diabetic,40,0.147,0.034
24,softImpute,echocardiogram,5,0.355,0.059
25,softImpute,echocardiogram,20,0.297,0.033
26,softImpute,echocardiogram,40,0.248,0.043
27,softImpute,fertility,5,0.398,0.187
28,softImpute,fertility,20,0.391,0.126
29,softImpute,fertility,40,0.329,0.061
