Dataset;Missing rate;F1-score;Accuracy;AUC
acute-inflammations;5;1.0;1.0;1.0
acute-inflammations;5;0.8;0.833;0.986
acute-inflammations;5;0.909;0.917;0.931
acute-inflammations;5;0.909;0.917;0.958
acute-inflammations;5;0.889;0.875;0.965
acute-inflammations;20;0.786;0.75;1.0
acute-inflammations;20;1.0;1.0;1.0
acute-inflammations;20;0.5;0.667;0.75
acute-inflammations;20;0.96;0.958;1.0
acute-inflammations;20;1.0;1.0;1.0
acute-inflammations;40;0.786;0.75;0.839
acute-inflammations;40;0.588;0.708;0.903
acute-inflammations;40;0.56;0.542;0.562
acute-inflammations;40;0.444;0.375;0.542
acute-inflammations;40;0.4;0.5;0.625
autism-adolescent;5;1.0;1.0;1.0
autism-adolescent;5;0.929;0.905;1.0
autism-adolescent;5;1.0;1.0;1.0
autism-adolescent;5;0.96;0.952;0.99
autism-adolescent;5;0.923;0.9;0.99
autism-adolescent;20;0.846;0.81;0.907
autism-adolescent;20;0.963;0.952;0.99
autism-adolescent;20;0.963;0.952;0.99
autism-adolescent;20;0.769;0.714;0.875
autism-adolescent;20;0.909;0.9;0.958
autism-adolescent;40;0.714;0.619;0.806
autism-adolescent;40;0.929;0.905;0.99
autism-adolescent;40;0.846;0.81;0.808
autism-adolescent;40;0.889;0.857;0.933
autism-adolescent;40;0.7;0.7;0.844
autism-adult;5;0.96;0.979;0.998
autism-adult;5;0.959;0.979;0.998
autism-adult;5;0.987;0.993;0.999
autism-adult;5;0.987;0.993;0.999
autism-adult;5;0.974;0.986;0.999
autism-adult;20;0.946;0.972;0.997
autism-adult;20;0.93;0.964;0.994
autism-adult;20;0.937;0.964;0.994
autism-adult;20;0.987;0.993;1.0
autism-adult;20;1.0;1.0;1.0
autism-adult;40;0.677;0.858;0.964
autism-adult;40;0.904;0.95;0.995
autism-adult;40;0.923;0.957;0.983
autism-adult;40;0.907;0.95;0.983
autism-adult;40;0.824;0.914;0.967
autism-child;5;0.966;0.966;1.0
autism-child;5;1.0;1.0;1.0
autism-child;5;0.739;0.793;0.898
autism-child;5;0.915;0.912;0.984
autism-child;5;0.923;0.93;0.99
autism-child;20;0.982;0.983;0.999
autism-child;20;0.982;0.983;1.0
autism-child;20;0.769;0.793;0.89
autism-child;20;0.8;0.789;0.946
autism-child;20;0.885;0.877;0.983
autism-child;40;0.828;0.828;0.898
autism-child;40;0.926;0.931;0.993
autism-child;40;0.839;0.828;0.945
autism-child;40;0.889;0.895;0.944
autism-child;40;0.852;0.86;0.938
bc-coimbra;5;0.593;0.542;0.587
bc-coimbra;5;0.56;0.522;0.636
bc-coimbra;5;0.722;0.565;0.669
bc-coimbra;5;0.897;0.87;0.792
bc-coimbra;5;0.25;0.478;0.654
bc-coimbra;20;0.581;0.458;0.462
bc-coimbra;20;0.48;0.435;0.436
bc-coimbra;20;0.606;0.435;0.677
bc-coimbra;20;0.706;0.565;0.777
bc-coimbra;20;0.25;0.478;0.5
bc-coimbra;40;0.381;0.458;0.517
bc-coimbra;40;0.621;0.522;0.473
bc-coimbra;40;0.667;0.522;0.369
bc-coimbra;40;0.812;0.739;0.792
bc-coimbra;40;0.455;0.478;0.392
blood-transfusion;5;0.452;0.433;0.77
blood-transfusion;5;0.274;0.647;0.543
blood-transfusion;5;0.178;0.753;0.582
blood-transfusion;5;0.361;0.644;0.601
blood-transfusion;5;0.292;0.772;0.672
blood-transfusion;20;0.504;0.54;0.79
blood-transfusion;20;0.406;0.727;0.649
blood-transfusion;20;0.267;0.78;0.642
blood-transfusion;20;0.282;0.624;0.638
blood-transfusion;20;0.238;0.785;0.524
blood-transfusion;40;0.379;0.607;0.67
blood-transfusion;40;0.269;0.747;0.592
