Dataset;Missing rate;F1-score;Accuracy;AUC
acute-inflammations;5;0.815;0.792;1.0
acute-inflammations;5;0.588;0.708;0.847
acute-inflammations;5;0.737;0.792;0.899
acute-inflammations;5;0.72;0.708;0.75
acute-inflammations;5;0.5;0.583;0.406
acute-inflammations;20;0.759;0.708;1.0
acute-inflammations;20;0.909;0.917;0.833
acute-inflammations;20;0.667;0.75;0.934
acute-inflammations;20;0.421;0.542;0.677
acute-inflammations;20;0.571;0.625;0.75
acute-inflammations;40;0.56;0.542;0.657
acute-inflammations;40;0.429;0.333;0.542
acute-inflammations;40;0.759;0.708;0.816
acute-inflammations;40;0.462;0.417;0.406
acute-inflammations;40;0.154;0.542;0.545
autism-adolescent;5;0.889;0.857;0.972
autism-adolescent;5;0.96;0.952;1.0
autism-adolescent;5;0.963;0.952;0.904
autism-adolescent;5;0.96;0.952;1.0
autism-adolescent;5;0.87;0.85;0.854
autism-adolescent;20;0.923;0.905;0.954
autism-adolescent;20;0.727;0.714;0.846
autism-adolescent;20;0.421;0.476;0.788
autism-adolescent;20;0.828;0.762;0.721
autism-adolescent;20;0.316;0.35;0.344
autism-adolescent;40;0.526;0.571;0.787
autism-adolescent;40;0.643;0.524;0.423
autism-adolescent;40;0.0;0.381;0.721
autism-adolescent;40;0.87;0.857;0.923
autism-adolescent;40;0.857;0.8;0.917
autism-adult;5;0.868;0.929;0.984
autism-adult;5;0.841;0.921;0.972
autism-adult;5;0.889;0.943;0.977
autism-adult;5;0.907;0.95;0.987
autism-adult;5;0.865;0.929;0.968
autism-adult;20;0.819;0.894;0.976
autism-adult;20;0.836;0.921;0.969
autism-adult;20;0.778;0.886;0.965
autism-adult;20;0.817;0.907;0.966
autism-adult;20;0.822;0.907;0.96
autism-adult;40;0.452;0.759;0.878
autism-adult;40;0.857;0.929;0.957
autism-adult;40;0.875;0.929;0.967
autism-adult;40;0.721;0.879;0.941
autism-adult;40;0.525;0.793;0.862
autism-child;5;0.72;0.759;0.871
autism-child;5;0.966;0.966;0.998
autism-child;5;0.731;0.759;0.852
autism-child;5;0.836;0.842;0.93
autism-child;5;0.852;0.86;0.942
autism-child;20;0.488;0.638;0.815
autism-child;20;0.885;0.879;0.98
autism-child;20;0.731;0.759;0.852
autism-child;20;0.873;0.877;0.93
autism-child;20;0.786;0.789;0.878
autism-child;40;0.286;0.569;0.771
autism-child;40;0.787;0.776;0.939
autism-child;40;0.8;0.759;0.857
autism-child;40;0.65;0.754;0.914
autism-child;40;0.815;0.825;0.921
bc-coimbra;5;0.8;0.792;0.797
bc-coimbra;5;0.583;0.565;0.629
bc-coimbra;5;0.75;0.739;0.823
bc-coimbra;5;0.571;0.609;0.631
bc-coimbra;5;0.688;0.565;0.515
bc-coimbra;20;0.533;0.417;0.497
bc-coimbra;20;0.545;0.565;0.515
bc-coimbra;20;0.72;0.696;0.738
bc-coimbra;20;0.381;0.435;0.523
bc-coimbra;20;0.606;0.435;0.454
bc-coimbra;40;0.621;0.542;0.689
bc-coimbra;40;0.571;0.478;0.405
bc-coimbra;40;0.556;0.652;0.723
bc-coimbra;40;0.6;0.478;0.415
bc-coimbra;40;0.533;0.391;0.477
blood-transfusion;5;0.364;0.627;0.669
blood-transfusion;5;0.613;0.84;0.872
blood-transfusion;5;0.232;0.647;0.562
blood-transfusion;5;0.369;0.725;0.624
blood-transfusion;5;0.222;0.765;0.718
blood-transfusion;20;0.0;0.567;0.369
blood-transfusion;20;0.322;0.607;0.568
blood-transfusion;20;0.356;0.687;0.532
blood-transfusion;20;0.138;0.664;0.57
blood-transfusion;20;0.103;0.651;0.513
blood-transfusion;40;0.103;0.533;0.433
blood-transfusion;40;0.115;0.693;0.453
