Dataset;Missing rate;F1-score;Accuracy;AUC
acute-inflammations;5;0.706;0.792;0.678
acute-inflammations;5;0.435;0.458;0.403
acute-inflammations;5;0.435;0.458;0.448
acute-inflammations;5;0.6;0.667;0.819
acute-inflammations;5;0.88;0.875;0.875
acute-inflammations;20;0.7;0.75;0.748
acute-inflammations;20;0.632;0.708;0.743
acute-inflammations;20;0.538;0.5;0.597
acute-inflammations;20;0.571;0.625;0.715
acute-inflammations;20;0.696;0.708;0.809
acute-inflammations;40;0.667;0.75;0.734
acute-inflammations;40;0.769;0.75;0.667
acute-inflammations;40;0.56;0.542;0.486
acute-inflammations;40;0.583;0.583;0.479
acute-inflammations;40;0.571;0.625;0.663
autism-adolescent;5;0.828;0.762;0.773
autism-adolescent;5;0.64;0.571;0.558
autism-adolescent;5;0.636;0.619;0.644
autism-adolescent;5;0.765;0.619;0.615
autism-adolescent;5;0.545;0.5;0.49
autism-adolescent;20;0.6;0.429;0.565
autism-adolescent;20;0.348;0.286;0.394
autism-adolescent;20;0.5;0.429;0.409
autism-adolescent;20;0.211;0.286;0.317
autism-adolescent;20;0.111;0.2;0.13
autism-adolescent;40;0.64;0.571;0.56
autism-adolescent;40;0.4;0.429;0.471
autism-adolescent;40;0.286;0.286;0.375
autism-adolescent;40;0.769;0.714;0.846
autism-adolescent;40;0.6;0.6;0.562
autism-adult;5;0.411;0.695;0.695
autism-adult;5;0.194;0.643;0.569
autism-adult;5;0.323;0.4;0.466
autism-adult;5;0.25;0.7;0.679
autism-adult;5;0.203;0.607;0.425
autism-adult;20;0.154;0.688;0.638
autism-adult;20;0.0;0.707;0.487
autism-adult;20;0.227;0.464;0.435
autism-adult;20;0.276;0.7;0.488
autism-adult;20;0.133;0.721;0.464
autism-adult;40;0.321;0.73;0.632
autism-adult;40;0.179;0.671;0.635
autism-adult;40;0.343;0.671;0.636
autism-adult;40;0.282;0.6;0.537
autism-adult;40;0.494;0.721;0.72
autism-child;5;0.565;0.655;0.673
autism-child;5;0.762;0.741;0.817
autism-child;5;0.292;0.414;0.448
autism-child;5;0.596;0.596;0.69
autism-child;5;0.304;0.439;0.574
autism-child;20;0.733;0.724;0.74
autism-child;20;0.6;0.655;0.763
autism-child;20;0.2;0.448;0.452
autism-child;20;0.702;0.702;0.709
autism-child;20;0.441;0.421;0.417
autism-child;40;0.516;0.483;0.557
autism-child;40;0.627;0.672;0.68
autism-child;40;0.571;0.638;0.727
autism-child;40;0.4;0.526;0.538
autism-child;40;0.759;0.754;0.858
bc-coimbra;5;0.333;0.333;0.441
bc-coimbra;5;0.583;0.565;0.602
bc-coimbra;5;0.72;0.696;0.777
bc-coimbra;5;0.6;0.478;0.385
bc-coimbra;5;0.615;0.565;0.604
bc-coimbra;20;0.519;0.458;0.385
bc-coimbra;20;0.316;0.435;0.523
bc-coimbra;20;0.645;0.522;0.596
bc-coimbra;20;0.3;0.391;0.377
bc-coimbra;20;0.348;0.348;0.412
bc-coimbra;40;0.0;0.417;0.601
bc-coimbra;40;0.64;0.609;0.545
bc-coimbra;40;0.333;0.478;0.388
bc-coimbra;40;0.609;0.609;0.631
bc-coimbra;40;0.643;0.565;0.469
blood-transfusion;5;0.283;0.427;0.395
blood-transfusion;5;0.214;0.56;0.468
blood-transfusion;5;0.05;0.493;0.244
blood-transfusion;5;0.128;0.544;0.469
blood-transfusion;5;0.423;0.799;0.695
blood-transfusion;20;0.513;0.747;0.747
blood-transfusion;20;0.359;0.667;0.596
blood-transfusion;20;0.347;0.673;0.57
blood-transfusion;20;0.197;0.617;0.492
blood-transfusion;20;0.159;0.644;0.494
blood-transfusion;40;0.256;0.42;0.428
blood-transfusion;40;0.286;0.667;0.556
blood-transfusion;40;0.159;0.647;0.46
blood-transfusion;40;0.093;0.738;0.567
blood-transfusion;40;0.29;0.671;0.45
contraceptive-methods;5;0.353;0.353;0.521
contraceptive-methods;5;0.359;0.359;0.501
contraceptive-methods;5;0.414;0.414;0.582
contraceptive-methods;5;0.357;0.357;0.551
contraceptive-methods;5;0.415;0.415;0.553
contraceptive-methods;20;0.356;0.356;0.531
contraceptive-methods;20;0.369;0.369;0.495
contraceptive-methods;20;0.319;0.319;0.508
contraceptive-methods;20;0.401;0.401;0.538
contraceptive-methods;20;0.371;0.371;0.488
contraceptive-methods;40;0.393;0.393;0.5
contraceptive-methods;40;0.417;0.417;0.548
contraceptive-methods;40;0.373;0.373;0.515
contraceptive-methods;40;0.378;0.378;0.516
contraceptive-methods;40;0.391;0.391;0.524
diabetic;5;0.62;0.597;0.673
diabetic;5;0.69;0.583;0.566
diabetic;5;0.672;0.635;0.677
diabetic;5;0.633;0.53;0.574
diabetic;5;0.634;0.609;0.668
diabetic;20;0.693;0.532;0.451
diabetic;20;0.553;0.557;0.583
diabetic;20;0.544;0.417;0.3
diabetic;20;0.665;0.517;0.581
diabetic;20;0.575;0.53;0.573
diabetic;40;0.61;0.563;0.556
diabetic;40;0.599;0.535;0.527
diabetic;40;0.671;0.548;0.583
diabetic;40;0.606;0.587;0.549
diabetic;40;0.422;0.417;0.497
echocardiogram;5;0.727;0.769;0.7
echocardiogram;5;0.75;0.833;0.938
echocardiogram;5;0.182;0.25;0.219
echocardiogram;5;0.667;0.833;0.781
echocardiogram;5;0.333;0.667;0.531
echocardiogram;20;0.667;0.769;0.95
echocardiogram;20;0.75;0.833;0.812
echocardiogram;20;0.444;0.583;0.594
echocardiogram;20;0.0;0.583;0.531
echocardiogram;20;0.286;0.167;0.5
echocardiogram;40;0.667;0.615;0.65
echocardiogram;40;0.667;0.833;0.641
echocardiogram;40;0.308;0.25;0.219
echocardiogram;40;0.0;0.667;0.703
echocardiogram;40;0.0;0.667;0.594
fertility;5;0.0;0.4;0.181
fertility;5;0.0;0.85;0.153
fertility;5;0.0;0.9;0.389
fertility;5;0.0;0.85;0.392
fertility;5;0.0;0.8;0.235
fertility;20;0.0;0.9;0.444
fertility;20;0.0;0.9;0.139
fertility;20;0.0;0.9;0.431
fertility;20;0.0;0.85;0.52
fertility;20;0.182;0.55;0.618
fertility;40;0.0;0.9;0.333
fertility;40;0.0;0.75;0.153
fertility;40;0.0;0.9;0.583
fertility;40;0.0;0.85;0.039
fertility;40;0.0;0.85;0.784
german-credit;5;0.259;0.6;0.505
german-credit;5;0.291;0.585;0.527
german-credit;5;0.42;0.6;0.601
german-credit;5;0.082;0.665;0.512
german-credit;5;0.261;0.66;0.569
german-credit;20;0.243;0.595;0.481
german-credit;20;0.275;0.71;0.499
german-credit;20;0.056;0.66;0.532
german-credit;20;0.16;0.685;0.533
german-credit;20;0.154;0.56;0.435
german-credit;40;0.114;0.69;0.425
german-credit;40;0.288;0.555;0.457
german-credit;40;0.413;0.375;0.465
german-credit;40;0.2;0.64;0.486
german-credit;40;0.252;0.585;0.471
haberman;5;0.08;0.629;0.556
haberman;5;0.364;0.77;0.649
haberman;5;0.222;0.656;0.437
haberman;5;0.074;0.59;0.487
haberman;5;0.138;0.59;0.482
haberman;20;0.218;0.306;0.38
haberman;20;0.261;0.721;0.638
haberman;20;0.286;0.59;0.495
haberman;20;0.167;0.672;0.576
haberman;20;0.176;0.541;0.423
haberman;40;0.091;0.677;0.442
haberman;40;0.148;0.623;0.531
haberman;40;0.36;0.475;0.512
haberman;40;0.194;0.59;0.488
haberman;40;0.412;0.672;0.62
hcv-egyptian;5;0.249;0.249;0.511
hcv-egyptian;5;0.253;0.253;0.528
hcv-egyptian;5;0.282;0.282;0.507
hcv-egyptian;5;0.267;0.267;0.505
hcv-egyptian;5;0.271;0.271;0.524
hcv-egyptian;20;0.242;0.242;0.487
hcv-egyptian;20;0.256;0.256;0.493
hcv-egyptian;20;0.271;0.271;0.524
hcv-egyptian;20;0.267;0.267;0.531
hcv-egyptian;20;0.231;0.231;0.487
hcv-egyptian;40;0.26;0.26;0.497
hcv-egyptian;40;0.256;0.256;0.495
hcv-egyptian;40;0.253;0.253;0.5
hcv-egyptian;40;0.253;0.253;0.518
hcv-egyptian;40;0.245;0.245;0.472
heart-cleveland;5;0.37;0.443;0.472
heart-cleveland;5;0.667;0.623;0.606
heart-cleveland;5;0.611;0.541;0.573
heart-cleveland;5;0.603;0.583;0.623
heart-cleveland;5;0.4;0.55;0.575
heart-cleveland;20;0.667;0.623;0.634
heart-cleveland;20;0.603;0.59;0.604
heart-cleveland;20;0.568;0.426;0.323
heart-cleveland;20;0.444;0.417;0.488
heart-cleveland;20;0.436;0.483;0.415
heart-cleveland;40;0.448;0.475;0.521
heart-cleveland;40;0.59;0.59;0.607
heart-cleveland;40;0.557;0.557;0.64
heart-cleveland;40;0.444;0.5;0.442
heart-cleveland;40;0.63;0.55;0.585
hepatitis;5;0.933;0.875;0.643
hepatitis;5;0.846;0.75;0.679
hepatitis;5;0.897;0.812;0.872
hepatitis;5;0.857;0.75;0.538
hepatitis;5;0.857;0.75;0.615
hepatitis;20;0.933;0.875;0.286
hepatitis;20;0.933;0.875;0.857
hepatitis;20;0.897;0.812;0.385
hepatitis;20;0.857;0.75;0.615
hepatitis;20;0.897;0.812;0.564
hepatitis;40;0.963;0.938;1.0
hepatitis;40;0.8;0.688;0.768
hepatitis;40;0.897;0.812;0.385
hepatitis;40;0.897;0.812;0.385
hepatitis;40;0.897;0.812;0.577
iris;5;0.8;0.8;0.925
iris;5;0.733;0.733;0.9
iris;5;0.767;0.767;0.907
iris;5;0.8;0.8;0.95
iris;5;0.767;0.767;0.867
iris;20;0.367;0.367;0.633
iris;20;0.6;0.6;0.765
iris;20;0.4;0.4;0.635
iris;20;0.833;0.833;0.912
iris;20;0.567;0.567;0.768
iris;40;0.4;0.4;0.665
iris;40;0.367;0.367;0.568
iris;40;0.333;0.333;0.548
iris;40;0.567;0.567;0.707
iris;40;0.4;0.4;0.572
liver;5;0.367;0.405;0.428
liver;5;0.095;0.672;0.514
liver;5;0.185;0.543;0.497
liver;5;0.449;0.302;0.586
liver;5;0.0;0.713;0.564
liver;20;0.087;0.638;0.421
liver;20;0.17;0.664;0.57
liver;20;0.328;0.647;0.508
liver;20;0.424;0.345;0.471
liver;20;0.29;0.574;0.495
liver;40;0.382;0.526;0.535
liver;40;0.0;0.716;0.516
liver;40;0.053;0.69;0.534
