Dataset;Missing rate;F1-score;Accuracy;AUC
acute-inflammations;5;1.0;1.0;1.0
acute-inflammations;5;0.909;0.917;1.0
acute-inflammations;5;0.957;0.958;0.931
acute-inflammations;5;0.909;0.917;0.903
acute-inflammations;5;0.96;0.958;0.965
acute-inflammations;20;0.957;0.958;1.0
acute-inflammations;20;0.667;0.75;1.0
acute-inflammations;20;0.444;0.583;0.493
acute-inflammations;20;0.846;0.833;0.854
acute-inflammations;20;0.609;0.625;0.594
acute-inflammations;40;0.8;0.792;0.825
acute-inflammations;40;1.0;1.0;1.0
acute-inflammations;40;0.56;0.542;0.556
acute-inflammations;40;0.667;0.708;0.833
acute-inflammations;40;0.333;0.5;0.538
autism-adolescent;5;1.0;1.0;1.0
autism-adolescent;5;1.0;1.0;1.0
autism-adolescent;5;0.87;0.857;0.99
autism-adolescent;5;0.96;0.952;0.981
autism-adolescent;5;0.96;0.95;1.0
autism-adolescent;20;0.923;0.905;0.963
autism-adolescent;20;0.963;0.952;1.0
autism-adolescent;20;0.929;0.905;0.971
autism-adolescent;20;0.846;0.81;0.933
autism-adolescent;20;0.917;0.9;0.99
autism-adolescent;40;0.857;0.81;0.889
autism-adolescent;40;1.0;1.0;1.0
autism-adolescent;40;0.929;0.905;0.952
autism-adolescent;40;0.846;0.81;0.894
autism-adolescent;40;0.909;0.9;0.958
autism-adult;5;0.904;0.95;0.992
autism-adult;5;0.932;0.964;0.997
autism-adult;5;0.946;0.971;0.998
autism-adult;5;0.974;0.986;0.999
autism-adult;5;0.96;0.979;0.997
autism-adult;20;0.875;0.929;0.981
autism-adult;20;0.873;0.936;0.983
autism-adult;20;0.944;0.971;0.999
autism-adult;20;0.96;0.979;0.998
autism-adult;20;0.946;0.971;0.996
autism-adult;40;0.744;0.858;0.932
autism-adult;40;0.849;0.921;0.948
autism-adult;40;0.829;0.914;0.928
autism-adult;40;0.779;0.879;0.936
autism-adult;40;0.773;0.879;0.923
autism-child;5;0.982;0.983;1.0
autism-child;5;1.0;1.0;1.0
autism-child;5;0.783;0.828;0.921
autism-child;5;0.885;0.877;0.957
autism-child;5;0.945;0.947;0.99
autism-child;20;0.926;0.931;0.989
autism-child;20;0.945;0.948;0.99
autism-child;20;0.735;0.776;0.819
autism-child;20;0.818;0.789;0.869
autism-child;20;0.929;0.93;0.95
autism-child;40;0.727;0.741;0.865
autism-child;40;0.8;0.828;0.964
autism-child;40;0.667;0.638;0.746
autism-child;40;0.7;0.684;0.852
autism-child;40;0.745;0.772;0.888
bc-coimbra;5;0.714;0.667;0.72
bc-coimbra;5;0.667;0.652;0.689
bc-coimbra;5;0.743;0.609;0.708
bc-coimbra;5;0.897;0.87;0.831
bc-coimbra;5;0.444;0.565;0.569
bc-coimbra;20;0.667;0.583;0.608
bc-coimbra;20;0.435;0.435;0.47
bc-coimbra;20;0.722;0.565;0.608
bc-coimbra;20;0.71;0.609;0.654
bc-coimbra;20;0.526;0.609;0.462
bc-coimbra;40;0.533;0.417;0.406
bc-coimbra;40;0.316;0.435;0.402
bc-coimbra;40;0.765;0.652;0.638
bc-coimbra;40;0.788;0.696;0.777
bc-coimbra;40;0.462;0.391;0.369
blood-transfusion;5;0.452;0.433;0.734
blood-transfusion;5;0.258;0.54;0.518
blood-transfusion;5;0.143;0.76;0.545
blood-transfusion;5;0.368;0.631;0.579
blood-transfusion;5;0.423;0.799;0.747
blood-transfusion;20;0.493;0.507;0.827
blood-transfusion;20;0.493;0.767;0.663
blood-transfusion;20;0.238;0.787;0.565
blood-transfusion;20;0.267;0.705;0.652
blood-transfusion;20;0.233;0.779;0.571
blood-transfusion;40;0.207;0.693;0.559
blood-transfusion;40;0.25;0.76;0.549
blood-transfusion;40;0.053;0.76;0.51
blood-transfusion;40;0.163;0.725;0.403
blood-transfusion;40;0.255;0.725;0.467
contraceptive-methods;5;0.549;0.549;0.696
contraceptive-methods;5;0.505;0.505;0.695
contraceptive-methods;5;0.529;0.529;0.692
contraceptive-methods;5;0.548;0.548;0.717
contraceptive-methods;5;0.49;0.49;0.694
contraceptive-methods;20;0.495;0.495;0.67
contraceptive-methods;20;0.508;0.508;0.695
contraceptive-methods;20;0.447;0.447;0.666
contraceptive-methods;20;0.507;0.507;0.691
contraceptive-methods;20;0.473;0.473;0.661
contraceptive-methods;40;0.475;0.475;0.65
contraceptive-methods;40;0.492;0.492;0.672
contraceptive-methods;40;0.434;0.434;0.647
contraceptive-methods;40;0.531;0.531;0.673
contraceptive-methods;40;0.49;0.49;0.663
diabetic;5;0.661;0.636;0.733
diabetic;5;0.664;0.665;0.743
diabetic;5;0.711;0.696;0.803
diabetic;5;0.69;0.648;0.703
diabetic;5;0.687;0.643;0.744
diabetic;20;0.634;0.645;0.712
diabetic;20;0.68;0.665;0.722
diabetic;20;0.732;0.713;0.765
diabetic;20;0.695;0.657;0.725
diabetic;20;0.723;0.674;0.749
diabetic;40;0.684;0.675;0.752
diabetic;40;0.575;0.609;0.679
diabetic;40;0.626;0.652;0.753
diabetic;40;0.658;0.639;0.697
diabetic;40;0.682;0.648;0.68
echocardiogram;5;0.909;0.923;0.975
echocardiogram;5;0.857;0.917;0.969
echocardiogram;5;0.8;0.833;0.906
echocardiogram;5;0.667;0.833;0.688
echocardiogram;5;1.0;1.0;1.0
echocardiogram;20;0.667;0.769;0.9
echocardiogram;20;0.667;0.833;1.0
echocardiogram;20;0.8;0.833;0.844
echocardiogram;20;0.333;0.667;0.5
echocardiogram;20;0.571;0.75;0.812
echocardiogram;40;0.5;0.692;0.725
echocardiogram;40;0.857;0.917;1.0
echocardiogram;40;0.727;0.75;0.906
echocardiogram;40;0.0;0.667;0.438
echocardiogram;40;0.4;0.75;0.812
fertility;5;0.0;0.8;0.167
fertility;5;0.5;0.9;0.722
fertility;5;0.5;0.9;0.833
fertility;5;0.0;0.8;0.882
fertility;5;0.0;0.85;0.451
fertility;20;0.286;0.75;0.722
fertility;20;0.667;0.95;0.5
fertility;20;0.0;0.9;0.833
fertility;20;0.0;0.8;0.706
fertility;20;0.0;0.85;0.314
fertility;40;0.0;0.85;0.389
fertility;40;0.0;0.9;0.375
fertility;40;0.4;0.85;0.639
fertility;40;0.0;0.85;0.706
fertility;40;0.0;0.8;0.627
german-credit;5;0.528;0.75;0.732
german-credit;5;0.577;0.765;0.771
german-credit;5;0.61;0.77;0.793
german-credit;5;0.556;0.76;0.803
german-credit;5;0.566;0.785;0.79
german-credit;20;0.463;0.71;0.685
german-credit;20;0.44;0.72;0.705
german-credit;20;0.567;0.74;0.745
german-credit;20;0.426;0.69;0.706
german-credit;20;0.404;0.705;0.698
german-credit;40;0.324;0.645;0.673
german-credit;40;0.198;0.675;0.662
german-credit;40;0.33;0.695;0.672
german-credit;40;0.35;0.665;0.667
german-credit;40;0.344;0.695;0.644
haberman;5;0.0;0.71;0.461
haberman;5;0.389;0.639;0.577
haberman;5;0.419;0.59;0.685
haberman;5;0.364;0.77;0.798
haberman;5;0.364;0.77;0.583
haberman;20;0.0;0.726;0.562
haberman;20;0.154;0.639;0.514
haberman;20;0.5;0.574;0.64
haberman;20;0.4;0.754;0.749
haberman;20;0.256;0.525;0.486
haberman;40;0.083;0.645;0.478
haberman;40;0.364;0.656;0.588
haberman;40;0.296;0.689;0.608
haberman;40;0.1;0.705;0.669
haberman;40;0.426;0.426;0.561
hcv-egyptian;5;0.231;0.231;0.47
hcv-egyptian;5;0.267;0.267;0.528
hcv-egyptian;5;0.202;0.202;0.473
hcv-egyptian;5;0.227;0.227;0.479
hcv-egyptian;5;0.238;0.238;0.487
hcv-egyptian;20;0.242;0.242;0.498
hcv-egyptian;20;0.307;0.307;0.537
hcv-egyptian;20;0.202;0.202;0.464
hcv-egyptian;20;0.217;0.217;0.451
hcv-egyptian;20;0.267;0.267;0.507
hcv-egyptian;40;0.253;0.253;0.486
hcv-egyptian;40;0.256;0.256;0.506
hcv-egyptian;40;0.231;0.231;0.48
hcv-egyptian;40;0.217;0.217;0.511
hcv-egyptian;40;0.224;0.224;0.47
heart-cleveland;5;0.848;0.836;0.892
heart-cleveland;5;0.794;0.787;0.903
heart-cleveland;5;0.848;0.836;0.884
heart-cleveland;5;0.776;0.75;0.827
heart-cleveland;5;0.795;0.75;0.853
heart-cleveland;20;0.824;0.803;0.881
heart-cleveland;20;0.794;0.787;0.885
heart-cleveland;20;0.788;0.77;0.88
heart-cleveland;20;0.765;0.733;0.814
heart-cleveland;20;0.697;0.667;0.792
heart-cleveland;40;0.778;0.738;0.81
heart-cleveland;40;0.778;0.738;0.788
heart-cleveland;40;0.667;0.639;0.767
