,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,gain,acute-inflammations,5,0.367,0.217
1,gain,acute-inflammations,20,0.551,0.113
2,gain,acute-inflammations,40,0.675,0.081
3,gain,autism-adolescent,5,0.582,0.143
4,gain,autism-adolescent,20,0.559,0.148
5,gain,autism-adolescent,40,0.598,0.04
6,gain,autism-adult,5,0.406,0.08
7,gain,autism-adult,20,0.48,0.12
8,gain,autism-adult,40,0.557,0.062
9,gain,autism-child,5,0.471,0.119
10,gain,autism-child,20,0.516,0.109
11,gain,autism-child,40,0.618,0.092
12,gain,bc-coimbra,5,0.467,0.14
13,gain,bc-coimbra,20,0.603,0.121
14,gain,bc-coimbra,40,0.576,0.209
15,gain,blood-transfusion,5,0.552,0.222
16,gain,blood-transfusion,20,0.523,0.211
17,gain,blood-transfusion,40,0.706,0.147
18,gain,contraceptive-methods,5,0.49,0.108
19,gain,contraceptive-methods,20,0.576,0.099
20,gain,contraceptive-methods,40,0.625,0.027
21,gain,diabetic,5,0.463,0.027
22,gain,diabetic,20,0.443,0.029
23,gain,diabetic,40,0.412,0.021
24,gain,echocardiogram,5,0.481,0.186
25,gain,echocardiogram,20,0.545,0.142
26,gain,echocardiogram,40,0.597,0.036
27,gain,fertility,5,0.53,0.099
28,gain,fertility,20,0.531,0.033
29,gain,fertility,40,0.527,0.062
30,gain,german-credit,5,0.428,0.079
31,gain,german-credit,20,0.42,0.046
32,gain,german-credit,40,0.459,0.029
33,gain,haberman,5,0.531,0.198
34,gain,haberman,20,0.596,0.205
35,gain,haberman,40,0.527,0.279
36,gain,hcv-egyptian,5,0.467,0.049
37,gain,hcv-egyptian,20,0.518,0.049
38,gain,hcv-egyptian,40,0.571,0.03
39,gain,heart-cleveland,5,0.478,0.109
40,gain,heart-cleveland,20,0.471,0.074
41,gain,heart-cleveland,40,0.509,0.048
42,gain,hepatitis,5,0.559,0.078
43,gain,hepatitis,20,0.642,0.09
44,gain,hepatitis,40,0.619,0.076
45,gain,iris,5,0.682,0.222
46,gain,iris,20,0.756,0.13
47,gain,iris,40,0.822,0.021
48,gain,liver,5,0.487,0.101
49,gain,liver,20,0.475,0.053
50,gain,liver,40,0.478,0.053
51,gain,mathernal-risk,5,0.605,0.066
52,gain,mathernal-risk,20,0.533,0.127
53,gain,mathernal-risk,40,0.56,0.084
54,gain,npha,5,0.462,0.116
55,gain,npha,20,0.501,0.07
56,gain,npha,40,0.522,0.113
57,gain,parkinsons,5,0.438,0.045
58,gain,parkinsons,20,0.449,0.046
59,gain,parkinsons,40,0.45,0.026
60,gain,phoneme,5,0.401,0.042
61,gain,phoneme,20,0.409,0.045
62,gain,phoneme,40,0.389,0.022
63,gain,pima-diabetes,5,0.509,0.1
64,gain,pima-diabetes,20,0.464,0.025
65,gain,pima-diabetes,40,0.502,0.031
66,gain,proba_football,5,0.345,0.037
67,gain,proba_football,20,0.362,0.051
68,gain,proba_football,40,0.351,0.029
69,gain,ricci,5,0.476,0.11
70,gain,ricci,20,0.548,0.083
71,gain,ricci,40,0.587,0.134
72,gain,sa-heart,5,0.446,0.067
73,gain,sa-heart,20,0.47,0.043
74,gain,sa-heart,40,0.487,0.033
75,gain,thoracic-surgery,5,0.474,0.048
76,gain,thoracic-surgery,20,0.446,0.064
77,gain,thoracic-surgery,40,0.461,0.033
78,gain,thyroid-recurrence,5,0.431,0.089
79,gain,thyroid-recurrence,20,0.442,0.067
80,gain,thyroid-recurrence,40,0.458,0.076
81,gain,wine,5,0.473,0.048
82,gain,wine,20,0.526,0.042
83,gain,wine,40,0.64,0.037
84,gain,wiscosin,5,0.451,0.02
85,gain,wiscosin,20,0.437,0.015
86,gain,wiscosin,40,0.435,0.017
