,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,gain,acute-inflammations,5,0.399,0.092
1,gain,acute-inflammations,20,0.454,0.161
2,gain,acute-inflammations,40,0.537,0.11
3,gain,autism-adolescent,5,0.502,0.198
4,gain,autism-adolescent,20,0.472,0.011
5,gain,autism-adolescent,40,0.466,0.104
6,gain,autism-adult,5,0.54,0.101
7,gain,autism-adult,20,0.534,0.1
8,gain,autism-adult,40,0.515,0.016
9,gain,autism-child,5,0.518,0.06
10,gain,autism-child,20,0.478,0.052
11,gain,autism-child,40,0.462,0.043
12,gain,bc-coimbra,5,0.397,0.12
13,gain,bc-coimbra,20,0.495,0.049
14,gain,bc-coimbra,40,0.526,0.049
15,gain,blood-transfusion,5,0.336,0.066
16,gain,blood-transfusion,20,0.295,0.124
17,gain,blood-transfusion,40,0.319,0.325
18,gain,contraceptive-methods,5,0.361,0.126
19,gain,contraceptive-methods,20,0.445,0.076
20,gain,contraceptive-methods,40,0.441,0.06
21,gain,diabetic,5,0.389,0.053
22,gain,diabetic,20,0.422,0.093
23,gain,diabetic,40,0.407,0.042
24,gain,echocardiogram,5,0.617,0.096
25,gain,echocardiogram,20,0.49,0.092
26,gain,echocardiogram,40,0.355,0.06
