,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,knn,acute-inflammations,5,0.439,0.23
1,knn,acute-inflammations,20,0.581,0.106
2,knn,acute-inflammations,40,0.716,0.118
3,knn,autism-adolescent,5,0.623,0.079
4,knn,autism-adolescent,20,0.734,0.032
5,knn,autism-adolescent,40,0.635,0.062
6,knn,autism-adult,5,0.302,0.052
7,knn,autism-adult,20,0.432,0.014
8,knn,autism-adult,40,0.569,0.019
9,knn,autism-child,5,0.496,0.056
10,knn,autism-child,20,0.648,0.041
11,knn,autism-child,40,0.667,0.021
12,knn,bc-coimbra,5,0.199,0.02
13,knn,bc-coimbra,20,0.207,0.042
14,knn,bc-coimbra,40,0.239,0.05
15,knn,blood-transfusion,5,0.085,0.029
16,knn,blood-transfusion,20,0.18,0.06
17,knn,blood-transfusion,40,0.181,0.022
18,knn,contraceptive-methods,5,0.479,0.027
19,knn,contraceptive-methods,20,0.497,0.03
20,knn,contraceptive-methods,40,0.416,0.019
21,knn,diabetic,5,0.163,0.009
22,knn,diabetic,20,0.162,0.01
23,knn,diabetic,40,0.187,0.009
