,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mice,acute-inflammations,5,0.333,0.118
1,mice,acute-inflammations,20,0.426,0.147
2,mice,acute-inflammations,40,0.435,0.13
3,mice,autism-adolescent,5,0.117,0.135
4,mice,autism-adolescent,20,0.364,0.094
5,mice,autism-adolescent,40,7.910259277049705e+49,1.7687877463131481e+50
6,mice,autism-adult,5,0.16,0.03
7,mice,autism-adult,20,0.173,0.025
8,mice,autism-adult,40,0.307,0.042
9,mice,autism-child,5,0.254,0.102
10,mice,autism-child,20,0.274,0.035
11,mice,autism-child,40,0.372,0.071
12,mice,bc-coimbra,5,0.186,0.088
13,mice,bc-coimbra,20,0.209,0.089
14,mice,bc-coimbra,40,0.296,0.134
15,mice,blood-transfusion,5,0.071,0.059
16,mice,blood-transfusion,20,0.06,0.046
17,mice,blood-transfusion,40,0.07,0.034
18,mice,contraceptive-methods,5,0.165,0.032
19,mice,contraceptive-methods,20,0.181,0.017
20,mice,contraceptive-methods,40,0.252,0.04
21,mice,diabetic,5,0.035,0.012
22,mice,diabetic,20,0.037,0.013
23,mice,diabetic,40,0.188,0.296
24,mice,echocardiogram,5,0.185,0.142
25,mice,echocardiogram,20,0.247,0.022
26,mice,echocardiogram,40,0.253,0.061
27,mice,fertility,5,0.162,0.125
28,mice,fertility,20,0.246,0.108
29,mice,fertility,40,1.687,2.663
30,mice,german-credit,5,0.111,0.03
31,mice,german-credit,20,0.134,0.03
32,mice,german-credit,40,2.583,5.162
33,mice,haberman,5,0.139,0.097
34,mice,haberman,20,0.148,0.086
35,mice,haberman,40,0.156,0.091
36,mice,hcv-egyptian,5,0.311,0.025
37,mice,hcv-egyptian,20,0.311,0.022
38,mice,hcv-egyptian,40,0.49,0.298
39,mice,heart-cleveland,5,0.18,0.048
40,mice,heart-cleveland,20,0.216,0.062
41,mice,heart-cleveland,40,0.342,0.057
42,mice,hepatitis,5,0.169,0.015
43,mice,hepatitis,20,0.281,0.033
44,mice,hepatitis,40,1.328,2.062
