Dataset;Missing Rate;KNN;MICE;SOFTIMPUTE;GAIN
acute-inflammations;5;0.439 ± 0.23;0.645 ± 0.151;0.263 ± 0.138;0.567 ± 0.224
acute-inflammations;20;0.581 ± 0.106;0.596 ± 0.17;0.287 ± 0.209;0.473 ± 0.105
acute-inflammations;40;0.716 ± 0.118;0.672 ± 0.082;0.339 ± 0.198;0.593 ± 0.159
autism-adolescent;5;0.623 ± 0.079;0.37 ± 0.288;0.518 ± 0.187;0.539 ± 0.126
autism-adolescent;20;0.734 ± 0.032;0.694 ± 0.026;0.455 ± 0.128;0.514 ± 0.162
autism-adolescent;40;0.635 ± 0.062;0.631 ± 0.082;0.512 ± 0.089;0.645 ± 0.096
autism-adult;5;0.302 ± 0.052;0.127 ± 0.016;0.27 ± 0.011;0.592 ± 0.101
autism-adult;20;0.432 ± 0.014;0.15 ± 0.012;0.311 ± 0.035;0.504 ± 0.054
autism-adult;40;0.569 ± 0.019;0.528 ± 0.026;0.39 ± 0.027;0.537 ± 0.058
autism-child;5;0.496 ± 0.056;0.159 ± 0.059;0.515 ± 0.094;0.535 ± 0.077
autism-child;20;0.648 ± 0.041;0.565 ± 0.058;0.585 ± 0.04;0.589 ± 0.054
autism-child;40;0.667 ± 0.021;0.664 ± 0.029;0.501 ± 0.073;0.62 ± 0.075
bc-coimbra;5;0.199 ± 0.02;0.195 ± 0.032;0.148 ± 0.056;0.479 ± 0.059
bc-coimbra;20;0.207 ± 0.042;0.204 ± 0.02;0.153 ± 0.048;0.73 ± 0.093
bc-coimbra;40;0.239 ± 0.05;0.268 ± 0.031;0.158 ± 0.038;0.642 ± 0.104
blood-transfusion;5;0.085 ± 0.029;0.131 ± 0.012;0.044 ± 0.033;0.483 ± 0.208
blood-transfusion;20;0.18 ± 0.06;0.165 ± 0.016;0.05 ± 0.023;0.448 ± 0.113
blood-transfusion;40;0.181 ± 0.022;0.19 ± 0.017;0.067 ± 0.019;0.656 ± 0.106
contraceptive-methods;5;0.479 ± 0.027;0.48 ± 0.012;0.448 ± 0.036;0.58 ± 0.149
contraceptive-methods;20;0.497 ± 0.03;0.464 ± 0.028;0.416 ± 0.047;0.541 ± 0.098
contraceptive-methods;40;0.416 ± 0.019;0.403 ± 0.017;0.336 ± 0.015;0.568 ± 0.074
diabetic;5;0.163 ± 0.009;0.167 ± 0.006;0.179 ± 0.02;0.465 ± 0.056
diabetic;20;0.162 ± 0.01;0.133 ± 0.005;0.172 ± 0.023;0.427 ± 0.031
diabetic;40;0.187 ± 0.009;0.154 ± 0.004;0.167 ± 0.026;0.445 ± 0.044
echocardiogram;5;0.219 ± 0.061;0.212 ± 0.073;0.219 ± 0.056;0.602 ± 0.194
echocardiogram;20;0.302 ± 0.049;0.241 ± 0.073;0.197 ± 0.073;0.63 ± 0.06
echocardiogram;40;0.338 ± 0.017;0.343 ± 0.071;0.192 ± 0.015;0.663 ± 0.085
fertility;5;0.392 ± 0.075;0.387 ± 0.089;0.487 ± 0.12;0.576 ± 0.097
fertility;20;0.39 ± 0.07;0.349 ± 0.053;0.32 ± 0.073;0.517 ± 0.073
fertility;40;0.469 ± 0.05;0.435 ± 0.05;0.341 ± 0.066;0.536 ± 0.072
german-credit;5;0.179 ± 0.012;0.092 ± 0.007;0.202 ± 0.008;0.423 ± 0.048
german-credit;20;0.261 ± 0.023;0.144 ± 0.009;0.218 ± 0.007;0.451 ± 0.068
german-credit;40;0.428 ± 0.039;0.262 ± 0.009;0.227 ± 0.013;0.438 ± 0.029
haberman;5;0.253 ± 0.074;0.28 ± 0.083;0.187 ± 0.132;0.248 ± 0.2
haberman;20;0.294 ± 0.074;0.289 ± 0.078;0.213 ± 0.135;0.648 ± 0.216
haberman;40;0.316 ± 0.081;0.334 ± 0.118;0.23 ± 0.161;0.661 ± 0.188
hcv-egyptian;5;0.496 ± 0.017;0.591 ± 0.007;0.491 ± 0.016;0.495 ± 0.034
hcv-egyptian;20;0.581 ± 0.01;0.615 ± 0.005;0.522 ± 0.013;0.529 ± 0.038
hcv-egyptian;40;0.627 ± 0.003;0.615 ± 0.004;0.528 ± 0.008;0.556 ± 0.042
heart-cleveland;5;0.321 ± 0.041;0.306 ± 0.025;0.333 ± 0.02;0.465 ± 0.079
heart-cleveland;20;0.312 ± 0.027;0.289 ± 0.008;0.28 ± 0.023;0.48 ± 0.045
heart-cleveland;40;0.366 ± 0.015;0.359 ± 0.032;0.264 ± 0.012;0.513 ± 0.063
hepatitis;5;0.573 ± 0.105;0.642 ± 0.058;0.556 ± 0.084;0.536 ± 0.096
hepatitis;20;0.579 ± 0.073;0.594 ± 0.059;0.505 ± 0.068;0.611 ± 0.066
hepatitis;40;0.518 ± 0.039;0.511 ± 0.047;0.375 ± 0.057;0.572 ± 0.076
iris;5;0.146 ± 0.088;0.164 ± 0.084;0.082 ± 0.012;0.656 ± 0.213
iris;20;0.296 ± 0.063;0.219 ± 0.056;0.095 ± 0.021;0.718 ± 0.121
iris;40;0.484 ± 0.025;0.467 ± 0.054;0.208 ± 0.027;0.818 ± 0.025
liver;5;0.217 ± 0.016;0.214 ± 0.012;0.135 ± 0.047;0.44 ± 0.055
liver;20;0.227 ± 0.016;0.21 ± 0.011;0.135 ± 0.031;0.501 ± 0.025
liver;40;0.192 ± 0.006;0.188 ± 0.01;0.162 ± 0.014;0.495 ± 0.037
mathernal-risk;5;0.18 ± 0.019;0.231 ± 0.032;0.252 ± 0.047;0.53 ± 0.178
mathernal-risk;20;0.223 ± 0.018;0.23 ± 0.011;0.211 ± 0.015;0.566 ± 0.113
