Dataset;Missing Rate;KNN;MICE;SOFTIMPUTE;GAIN
acute-inflammations;5;0.333 ± 0.118;0.333 ± 0.118;0.3 ± 0.074;0.399 ± 0.092
acute-inflammations;20;0.399 ± 0.152;0.426 ± 0.147;0.321 ± 0.141;0.454 ± 0.161
acute-inflammations;40;0.477 ± 0.051;0.435 ± 0.13;0.519 ± 0.104;0.537 ± 0.11
autism-adolescent;5;0.321 ± 0.099;0.117 ± 0.135;0.193 ± 0.064;0.502 ± 0.198
autism-adolescent;20;0.284 ± 0.071;0.364 ± 0.094;0.306 ± 0.08;0.472 ± 0.011
autism-adolescent;40;0.306 ± 0.034;7.910259277049705e+49 ± 1.768787746313148e+50;0.407 ± 0.087;0.466 ± 0.104
autism-adult;5;0.2 ± 0.03;0.16 ± 0.03;0.208 ± 0.048;0.54 ± 0.101
autism-adult;20;0.236 ± 0.024;0.173 ± 0.025;0.242 ± 0.03;0.534 ± 0.1
autism-adult;40;0.293 ± 0.008;0.307 ± 0.042;0.296 ± 0.02;0.515 ± 0.016
autism-child;5;0.27 ± 0.078;0.254 ± 0.102;0.314 ± 0.04;0.518 ± 0.06
autism-child;20;0.348 ± 0.093;0.274 ± 0.035;0.319 ± 0.053;0.478 ± 0.052
autism-child;40;0.345 ± 0.044;0.372 ± 0.071;0.442 ± 0.078;0.462 ± 0.043
bc-coimbra;5;0.164 ± 0.06;0.186 ± 0.088;0.202 ± 0.104;0.397 ± 0.12
bc-coimbra;20;0.194 ± 0.052;0.209 ± 0.089;0.216 ± 0.066;0.495 ± 0.049
bc-coimbra;40;0.201 ± 0.064;0.296 ± 0.134;0.255 ± 0.137;0.526 ± 0.049
blood-transfusion;5;0.051 ± 0.058;0.071 ± 0.059;0.078 ± 0.064;0.336 ± 0.066
blood-transfusion;20;0.07 ± 0.038;0.06 ± 0.046;0.107 ± 0.05;0.295 ± 0.124
blood-transfusion;40;0.097 ± 0.011;0.07 ± 0.034;0.123 ± 0.078;0.319 ± 0.325
contraceptive-methods;5;0.183 ± 0.05;0.165 ± 0.032;0.307 ± 0.048;0.361 ± 0.126
contraceptive-methods;20;0.204 ± 0.028;0.181 ± 0.017;0.342 ± 0.064;0.445 ± 0.076
contraceptive-methods;40;0.226 ± 0.02;0.252 ± 0.04;0.425 ± 0.048;0.441 ± 0.06
diabetic;5;0.048 ± 0.014;0.035 ± 0.012;0.124 ± 0.017;0.389 ± 0.053
diabetic;20;0.061 ± 0.012;0.037 ± 0.013;0.133 ± 0.014;0.422 ± 0.093
diabetic;40;0.1 ± 0.017;0.188 ± 0.296;0.147 ± 0.034;0.407 ± 0.042
echocardiogram;5;0.224 ± 0.135;0.185 ± 0.142;0.355 ± 0.059;0.617 ± 0.096
echocardiogram;20;0.25 ± 0.011;0.247 ± 0.022;0.297 ± 0.033;0.49 ± 0.092
echocardiogram;40;0.197 ± 0.04;0.253 ± 0.061;0.248 ± 0.043;0.355 ± 0.06
fertility;5;0.233 ± 0.137;0.162 ± 0.125;0.398 ± 0.187;0.535 ± 0.104
fertility;20;0.261 ± 0.057;0.246 ± 0.108;0.391 ± 0.126;0.432 ± 0.06
fertility;40;0.262 ± 0.033;1.687 ± 2.663;0.329 ± 0.061;0.421 ± 0.11
german-credit;5;0.16 ± 0.03;0.111 ± 0.03;0.218 ± 0.028;0.402 ± 0.098
german-credit;20;0.162 ± 0.02;0.134 ± 0.03;0.224 ± 0.025;0.383 ± 0.04
german-credit;40;0.189 ± 0.024;2.583 ± 5.162;0.242 ± 0.043;0.402 ± 0.029
haberman;5;0.147 ± 0.107;0.139 ± 0.097;0.205 ± 0.045;0.445 ± 0.291
haberman;20;0.171 ± 0.056;0.148 ± 0.086;0.203 ± 0.086;0.271 ± 0.116
haberman;40;0.175 ± 0.083;0.156 ± 0.091;0.208 ± 0.091;0.339 ± 0.101
hcv-egyptian;5;0.323 ± 0.008;0.311 ± 0.025;0.316 ± 0.008;0.364 ± 0.021
hcv-egyptian;20;0.32 ± 0.009;0.311 ± 0.022;0.345 ± 0.016;0.363 ± 0.024
hcv-egyptian;40;0.326 ± 0.008;0.49 ± 0.298;0.365 ± 0.02;0.358 ± 0.012
heart-cleveland;5;0.208 ± 0.07;0.18 ± 0.048;0.267 ± 0.083;0.456 ± 0.033
heart-cleveland;20;0.204 ± 0.033;0.216 ± 0.062;0.286 ± 0.026;0.424 ± 0.086
heart-cleveland;40;0.229 ± 0.037;0.342 ± 0.057;0.314 ± 0.044;0.438 ± 0.088
hepatitis;5;0.184 ± 0.042;0.169 ± 0.015;0.277 ± 0.087;0.463 ± 0.096
hepatitis;20;0.236 ± 0.065;0.281 ± 0.033;0.326 ± 0.025;0.46 ± 0.097
hepatitis;40;0.279 ± 0.035;1.328 ± 2.062;0.38 ± 0.054;0.439 ± 0.088
iris;5;0.073 ± 0.035;0.044 ± 0.042;0.086 ± 0.025;0.474 ± 0.15
iris;20;0.187 ± 0.062;0.082 ± 0.026;0.239 ± 0.135;0.618 ± 0.173
iris;40;0.262 ± 0.023;0.249 ± 0.047;0.32 ± 0.074;0.515 ± 0.075
liver;5;0.077 ± 0.068;0.047 ± 0.026;0.145 ± 0.072;0.379 ± 0.042
liver;20;0.075 ± 0.04;0.069 ± 0.031;0.151 ± 0.074;0.37 ± 0.093
liver;40;0.093 ± 0.024;0.118 ± 0.047;0.217 ± 0.088;0.408 ± 0.067
mathernal-risk;5;0.057 ± 0.006;0.099 ± 0.021;0.219 ± 0.055;0.384 ± 0.138
mathernal-risk;20;0.15 ± 0.006;0.151 ± 0.02;0.253 ± 0.036;0.344 ± 0.126
mathernal-risk;40;0.181 ± 0.015;0.354 ± 0.212;0.278 ± 0.082;0.463 ± 0.093
npha;5;0.22 ± 0.027;0.197 ± 0.045;0.252 ± 0.061;0.412 ± 0.087
npha;20;0.187 ± 0.038;0.198 ± 0.057;0.265 ± 0.069;0.515 ± 0.043
npha;40;0.202 ± 0.044;0.27 ± 0.031;0.304 ± 0.073;0.471 ± 0.043
parkinsons;5;0.09 ± 0.029;0.065 ± 0.015;0.128 ± 0.055;0.323 ± 0.103
parkinsons;20;0.095 ± 0.014;0.131 ± 0.081;0.158 ± 0.034;0.311 ± 0.037
parkinsons;40;0.149 ± 0.015;0.241 ± 0.068;0.184 ± 0.024;0.57 ± 0.061
phoneme;5;0.126 ± 0.011;0.258 ± 0.004;0.257 ± 0.023;0.196 ± 0.022
phoneme;20;0.167 ± 0.003;0.178 ± 0.002;0.329 ± 0.033;0.167 ± 0.014
phoneme;40;0.139 ± 0.002;0.162 ± 0.002;0.298 ± 0.01;0.165 ± 0.021
pima-diabetes;5;0.101 ± 0.009;0.114 ± 0.016;0.178 ± 0.038;0.288 ± 0.072
pima-diabetes;20;0.108 ± 0.006;0.112 ± 0.011;0.179 ± 0.008;0.229 ± 0.064
pima-diabetes;40;0.134 ± 0.023;0.207 ± 0.061;0.188 ± 0.023;0.275 ± 0.058
proba_football;5;0.053 ± 0.012;0.047 ± 0.017;0.05 ± 0.007;0.246 ± 0.086
proba_football;20;0.055 ± 0.01;0.054 ± 0.01;0.052 ± 0.011;0.306 ± 0.048
proba_football;40;0.052 ± 0.008;0.054 ± 0.011;0.051 ± 0.008;0.321 ± 0.03
ricci;5;0.245 ± 0.091;0.05 ± 0.112;0.294 ± 0.233;0.471 ± 0.185
ricci;20;0.326 ± 0.082;0.17 ± 0.1;0.459 ± 0.203;0.508 ± 0.089
ricci;40;0.381 ± 0.11;1.304 ± 1.588;0.354 ± 0.081;0.411 ± 0.129
sa-heart;5;0.166 ± 0.05;0.149 ± 0.033;0.199 ± 0.046;0.346 ± 0.087
sa-heart;20;0.182 ± 0.048;0.157 ± 0.027;0.229 ± 0.051;0.332 ± 0.074
sa-heart;40;0.193 ± 0.042;0.213 ± 0.029;0.272 ± 0.064;0.357 ± 0.059
thoracic-surgery;5;0.088 ± 0.026;25.052 ± 55.863;0.148 ± 0.024;0.339 ± 0.04
thoracic-surgery;20;0.102 ± 0.04;0.581 ± 1.055;0.163 ± 0.037;0.338 ± 0.087
thoracic-surgery;40;10.821 ± 23.923;10.916 ± 23.901;10.88 ± 23.901;0.452 ± 0.071
thyroid-recurrence;5;0.123 ± 0.038;0.119 ± 0.026;0.131 ± 0.028;0.383 ± 0.106
thyroid-recurrence;20;0.137 ± 0.036;0.175 ± 0.024;0.205 ± 0.029;0.449 ± 0.129
thyroid-recurrence;40;0.163 ± 0.037;0.295 ± 0.142;0.261 ± 0.057;0.409 ± 0.042
wine;5;0.11 ± 0.022;0.117 ± 0.017;0.152 ± 0.041;0.264 ± 0.023
wine;20;0.133 ± 0.02;0.164 ± 0.069;0.209 ± 0.037;0.353 ± 0.05
wine;40;0.196 ± 0.022;0.23 ± 0.029;0.256 ± 0.035;0.534 ± 0.036
wiscosin;5;0.065 ± 0.01;0.021 ± 0.003;0.079 ± 0.013;0.371 ± 0.052
wiscosin;20;0.072 ± 0.007;0.029 ± 0.003;0.076 ± 0.012;0.351 ± 0.04
wiscosin;40;0.14 ± 0.016;0.086 ± 0.012;0.096 ± 0.021;0.372 ± 0.028
