,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,gain,acute-inflammations,5,0.413,0.204
1,gain,acute-inflammations,20,0.527,0.18
2,gain,acute-inflammations,40,0.498,0.073
3,gain,autism-adolescent,5,0.543,0.087
4,gain,autism-adolescent,20,0.565,0.052
5,gain,autism-adolescent,40,0.506,0.057
6,gain,autism-adult,5,0.481,0.07
7,gain,autism-adult,20,0.536,0.041
8,gain,autism-adult,40,0.513,0.058
9,gain,autism-child,5,0.529,0.035
10,gain,autism-child,20,0.569,0.049
11,gain,autism-child,40,0.531,0.046
12,gain,bc-coimbra,5,0.464,0.064
13,gain,bc-coimbra,20,0.611,0.084
14,gain,bc-coimbra,40,0.507,0.155
15,gain,blood-transfusion,5,0.495,0.172
16,gain,blood-transfusion,20,0.382,0.124
17,gain,blood-transfusion,40,0.357,0.178
18,gain,contraceptive-methods,5,0.576,0.083
19,gain,contraceptive-methods,20,0.431,0.113
20,gain,contraceptive-methods,40,0.423,0.017
21,gain,diabetic,5,0.582,0.096
22,gain,diabetic,20,0.566,0.133
23,gain,diabetic,40,0.538,0.06
24,gain,echocardiogram,5,0.438,0.078
25,gain,echocardiogram,20,0.523,0.029
26,gain,echocardiogram,40,0.462,0.047
27,gain,fertility,5,0.548,0.142
28,gain,fertility,20,0.623,0.061
29,gain,fertility,40,0.564,0.099
30,gain,german-credit,5,0.436,0.027
31,gain,german-credit,20,0.438,0.041
32,gain,german-credit,40,0.457,0.029
33,gain,haberman,5,0.248,0.05
34,gain,haberman,20,0.31,0.112
35,gain,haberman,40,0.226,0.079
36,gain,hcv-egyptian,5,0.383,0.038
37,gain,hcv-egyptian,20,0.405,0.032
38,gain,hcv-egyptian,40,0.378,0.015
39,gain,heart-cleveland,5,0.394,0.049
40,gain,heart-cleveland,20,0.442,0.034
41,gain,heart-cleveland,40,0.486,0.072
42,gain,hepatitis,5,0.522,0.069
43,gain,hepatitis,20,0.535,0.046
44,gain,hepatitis,40,0.578,0.028
45,gain,iris,5,0.588,0.047
46,gain,iris,20,0.445,0.093
47,gain,iris,40,0.541,0.03
48,gain,liver,5,0.35,0.098
49,gain,liver,20,0.345,0.064
50,gain,liver,40,0.39,0.09
51,gain,mathernal-risk,5,0.404,0.127
52,gain,mathernal-risk,20,0.396,0.058
53,gain,mathernal-risk,40,0.551,0.168
54,gain,npha,5,0.514,0.087
55,gain,npha,20,0.6,0.03
56,gain,npha,40,0.536,0.06
57,gain,parkinsons,5,46.569,58.928
58,gain,parkinsons,20,89.353,47.696
59,gain,parkinsons,40,68.242,58.648
60,gain,phoneme,5,0.207,0.041
61,gain,phoneme,20,0.16,0.011
62,gain,phoneme,40,0.174,0.019
63,gain,pima-diabetes,5,0.306,0.085
64,gain,pima-diabetes,20,0.268,0.071
65,gain,pima-diabetes,40,0.267,0.084
66,gain,proba_football,5,0.307,0.033
67,gain,proba_football,20,0.331,0.043
68,gain,proba_football,40,0.344,0.061
69,gain,ricci,5,0.637,0.119
70,gain,ricci,20,0.64,0.052
71,gain,ricci,40,0.538,0.11
72,gain,sa-heart,5,0.342,0.061
73,gain,sa-heart,20,0.356,0.096
74,gain,sa-heart,40,0.409,0.084
75,gain,thoracic-surgery,5,0.4,0.074
76,gain,thoracic-surgery,20,0.472,0.032
77,gain,thoracic-surgery,40,0.49,0.074
78,gain,thyroid-recurrence,5,0.371,0.037
79,gain,thyroid-recurrence,20,0.443,0.069
80,gain,thyroid-recurrence,40,0.494,0.073
81,gain,wine,5,0.318,0.049
82,gain,wine,20,0.307,0.074
83,gain,wine,40,0.566,0.083
