,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,knn,acute-inflammations,5,0.518,0.188
1,knn,acute-inflammations,20,0.592,0.065
2,knn,acute-inflammations,40,0.655,0.069
3,knn,autism-adolescent,5,0.661,0.141
4,knn,autism-adolescent,20,0.62,0.029
5,knn,autism-adolescent,40,0.579,0.042
6,knn,autism-adult,5,0.554,0.053
7,knn,autism-adult,20,0.503,0.031
8,knn,autism-adult,40,0.588,0.024
9,knn,autism-child,5,0.58,0.075
10,knn,autism-child,20,0.644,0.023
11,knn,autism-child,40,0.653,0.029
12,knn,bank-marketing,5,0.345,0.018
13,knn,bank-marketing,20,0.6,0.045
14,knn,bank-marketing,40,0.783,0.062
15,knn,bc-coimbra,5,0.19,0.032
16,knn,bc-coimbra,20,0.21,0.044
17,knn,bc-coimbra,40,0.235,0.051
18,knn,blood-transfusion,5,0.128,0.064
19,knn,blood-transfusion,20,0.227,0.058
20,knn,blood-transfusion,40,0.199,0.022
21,knn,contraceptive-methods,5,0.55,0.027
22,knn,contraceptive-methods,20,0.56,0.016
23,knn,contraceptive-methods,40,0.486,0.022
24,knn,diabetic,5,0.35,0.012
25,knn,diabetic,20,0.29,0.009
26,knn,diabetic,40,0.339,0.012
27,knn,echocardiogram,5,0.269,0.061
28,knn,echocardiogram,20,0.319,0.045
29,knn,echocardiogram,40,0.365,0.049
30,knn,fertility,5,0.384,0.088
31,knn,fertility,20,0.428,0.046
32,knn,fertility,40,0.53,0.047
33,knn,german-credit,5,0.22,0.02
34,knn,german-credit,20,0.413,0.007
35,knn,german-credit,40,0.601,0.013
36,knn,haberman,5,0.272,0.056
37,knn,haberman,20,0.301,0.067
38,knn,haberman,40,0.317,0.074
39,knn,hcv-egyptian,5,0.485,0.013
40,knn,hcv-egyptian,20,0.588,0.008
41,knn,hcv-egyptian,40,0.591,0.012
42,knn,heart-cleveland,5,0.325,0.044
43,knn,heart-cleveland,20,0.391,0.013
44,knn,heart-cleveland,40,0.401,0.015
45,knn,hepatitis,5,0.691,0.079
46,knn,hepatitis,20,0.701,0.082
47,knn,hepatitis,40,0.624,0.075
48,knn,iris,5,0.191,0.079
49,knn,iris,20,0.259,0.055
50,knn,iris,40,0.382,0.014
51,knn,liver,5,0.21,0.014
52,knn,liver,20,0.215,0.019
53,knn,liver,40,0.202,0.014
54,knn,mathernal-risk,5,0.179,0.027
55,knn,mathernal-risk,20,0.227,0.018
56,knn,mathernal-risk,40,0.262,0.011
57,knn,npha,5,0.526,0.056
58,knn,npha,20,0.604,0.022
59,knn,npha,40,0.606,0.025
60,knn,parkinsons,5,64.35,15.787
61,knn,parkinsons,20,64.336,15.798
62,knn,parkinsons,40,64.382,15.781
63,knn,phoneme,5,0.298,0.013
64,knn,phoneme,20,0.298,0.006
65,knn,phoneme,40,0.27,0.004
66,knn,pima-diabetes,5,0.218,0.021
67,knn,pima-diabetes,20,0.186,0.007
68,knn,pima-diabetes,40,0.212,0.009
69,knn,proba_football,5,0.065,0.057
70,knn,proba_football,20,0.258,0.042
71,knn,proba_football,40,0.47,0.057
72,knn,ricci,5,0.27,0.065
73,knn,ricci,20,0.428,0.058
74,knn,ricci,40,0.466,0.1
75,knn,sa-heart,5,0.322,0.014
76,knn,sa-heart,20,0.359,0.016
77,knn,sa-heart,40,0.361,0.02
78,knn,thoracic-surgery,5,0.213,0.014
79,knn,thoracic-surgery,20,0.32,0.016
80,knn,thoracic-surgery,40,0.353,0.024
81,knn,thyroid-recurrence,5,0.193,0.024
82,knn,thyroid-recurrence,20,0.325,0.042
83,knn,thyroid-recurrence,40,0.435,0.041
84,knn,wine,5,0.262,0.031
85,knn,wine,20,0.331,0.016
86,knn,wine,40,0.344,0.016
87,knn,wiscosin,5,0.323,0.019
88,knn,wiscosin,20,0.338,0.016
89,knn,wiscosin,40,0.611,0.168
