,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,softImpute,acute-inflammations,5,0.232,0.147
1,softImpute,acute-inflammations,20,0.245,0.188
2,softImpute,acute-inflammations,40,0.332,0.133
3,softImpute,autism-adolescent,5,0.448,0.102
4,softImpute,autism-adolescent,20,0.506,0.093
5,softImpute,autism-adolescent,40,0.479,0.056
6,softImpute,autism-adult,5,0.264,0.056
7,softImpute,autism-adult,20,0.34,0.033
8,softImpute,autism-adult,40,0.415,0.024
9,softImpute,autism-child,5,0.463,0.055
10,softImpute,autism-child,20,0.54,0.095
11,softImpute,autism-child,40,0.49,0.082
12,softImpute,bc-coimbra,5,0.159,0.052
13,softImpute,bc-coimbra,20,0.149,0.036
14,softImpute,bc-coimbra,40,0.14,0.035
15,softImpute,blood-transfusion,5,0.03,0.021
16,softImpute,blood-transfusion,20,0.059,0.022
17,softImpute,blood-transfusion,40,0.067,0.01
18,softImpute,contraceptive-methods,5,0.469,0.034
19,softImpute,contraceptive-methods,20,0.41,0.035
20,softImpute,contraceptive-methods,40,0.318,0.019
21,softImpute,diabetic,5,0.171,0.028
22,softImpute,diabetic,20,0.157,0.025
23,softImpute,diabetic,40,0.162,0.032
24,softImpute,echocardiogram,5,0.175,0.05
25,softImpute,echocardiogram,20,0.206,0.072
26,softImpute,echocardiogram,40,0.225,0.054
27,softImpute,fertility,5,0.45,0.103
28,softImpute,fertility,20,0.343,0.047
29,softImpute,fertility,40,0.344,0.023
30,softImpute,german-credit,5,0.197,0.008
31,softImpute,german-credit,20,0.208,0.011
32,softImpute,german-credit,40,0.207,0.004
33,softImpute,haberman,5,0.205,0.08
34,softImpute,haberman,20,0.204,0.087
35,softImpute,haberman,40,0.22,0.113
36,softImpute,hcv-egyptian,5,0.488,0.02
37,softImpute,hcv-egyptian,20,0.514,0.01
38,softImpute,hcv-egyptian,40,0.539,0.018
39,softImpute,heart-cleveland,5,0.302,0.033
40,softImpute,heart-cleveland,20,0.269,0.035
41,softImpute,heart-cleveland,40,0.275,0.027
42,softImpute,hepatitis,5,0.524,0.059
43,softImpute,hepatitis,20,0.518,0.06
44,softImpute,hepatitis,40,0.433,0.053
45,softImpute,iris,5,0.11,0.042
46,softImpute,iris,20,0.189,0.056
47,softImpute,iris,40,0.187,0.023
48,softImpute,liver,5,0.165,0.043
49,softImpute,liver,20,0.143,0.045
50,softImpute,liver,40,0.161,0.02
51,softImpute,mathernal-risk,5,0.22,0.033
52,softImpute,mathernal-risk,20,0.207,0.009
53,softImpute,mathernal-risk,40,0.205,0.003
54,softImpute,npha,5,0.295,0.073
55,softImpute,npha,20,0.269,0.03
56,softImpute,npha,40,0.266,0.04
57,softImpute,parkinsons,5,0.163,0.035
58,softImpute,parkinsons,20,0.14,0.026
59,softImpute,parkinsons,40,0.123,0.023
60,softImpute,phoneme,5,0.213,0.026
61,softImpute,phoneme,20,0.211,0.042
62,softImpute,phoneme,40,0.173,0.007
63,softImpute,pima-diabetes,5,0.177,0.021
64,softImpute,pima-diabetes,20,0.171,0.013
65,softImpute,pima-diabetes,40,0.178,0.014
66,softImpute,proba_football,5,0.021,0.003
67,softImpute,proba_football,20,0.019,0.003
68,softImpute,proba_football,40,0.016,0.004
69,softImpute,ricci,5,0.126,0.074
70,softImpute,ricci,20,0.252,0.067
71,softImpute,ricci,40,0.249,0.101
72,softImpute,sa-heart,5,0.196,0.048
73,softImpute,sa-heart,20,0.199,0.066
74,softImpute,sa-heart,40,0.214,0.014
75,softImpute,thoracic-surgery,5,0.124,0.013
76,softImpute,thoracic-surgery,20,0.16,0.013
77,softImpute,thoracic-surgery,40,0.148,0.016
78,softImpute,thyroid-recurrence,5,0.21,0.026
79,softImpute,thyroid-recurrence,20,0.178,0.026
80,softImpute,thyroid-recurrence,40,0.21,0.04
81,softImpute,wine,5,0.239,0.026
82,softImpute,wine,20,0.216,0.023
83,softImpute,wine,40,0.201,0.03
84,softImpute,wiscosin,5,0.113,0.015
85,softImpute,wiscosin,20,0.101,0.018
86,softImpute,wiscosin,40,0.088,0.009
