,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,gain,acute-inflammations,5,0.513,0.234
1,gain,acute-inflammations,20,0.616,0.114
2,gain,acute-inflammations,40,0.609,0.078
3,gain,autism-adolescent,5,0.602,0.151
4,gain,autism-adolescent,20,0.687,0.027
5,gain,autism-adolescent,40,0.61,0.046
6,gain,autism-adult,5,0.383,0.089
7,gain,autism-adult,20,0.493,0.037
8,gain,autism-adult,40,0.536,0.019
9,gain,autism-child,5,0.539,0.047
10,gain,autism-child,20,0.61,0.039
11,gain,autism-child,40,0.621,0.03
12,gain,bank-marketing,5,0.336,0.02
13,gain,bank-marketing,20,0.383,0.022
14,gain,bank-marketing,40,0.491,0.042
15,gain,bc-coimbra,5,0.367,0.075
16,gain,bc-coimbra,20,0.381,0.112
17,gain,bc-coimbra,40,0.528,0.086
18,gain,blood-transfusion,5,0.375,0.159
19,gain,blood-transfusion,20,0.46,0.141
20,gain,blood-transfusion,40,0.346,0.155
21,gain,contraceptive-methods,5,0.638,0.076
22,gain,contraceptive-methods,20,0.671,0.066
23,gain,contraceptive-methods,40,0.564,0.071
24,gain,diabetic,5,0.373,0.044
25,gain,diabetic,20,0.358,0.046
26,gain,diabetic,40,0.4,0.047
