,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,softImpute,acute-inflammations,5,0.263,0.138
1,softImpute,acute-inflammations,20,0.287,0.209
2,softImpute,acute-inflammations,40,0.339,0.198
3,softImpute,autism-adolescent,5,0.518,0.187
4,softImpute,autism-adolescent,20,0.455,0.128
5,softImpute,autism-adolescent,40,0.512,0.089
6,softImpute,autism-adult,5,0.27,0.011
7,softImpute,autism-adult,20,0.311,0.035
8,softImpute,autism-adult,40,0.39,0.027
9,softImpute,autism-child,5,0.515,0.094
10,softImpute,autism-child,20,0.585,0.04
11,softImpute,autism-child,40,0.501,0.073
12,softImpute,bc-coimbra,5,0.148,0.056
13,softImpute,bc-coimbra,20,0.153,0.048
14,softImpute,bc-coimbra,40,0.158,0.038
