,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,softImpute,acute-inflammations,5,0.263,0.138
1,softImpute,acute-inflammations,20,0.287,0.209
2,softImpute,acute-inflammations,40,0.339,0.198
3,softImpute,autism-adolescent,5,0.518,0.187
4,softImpute,autism-adolescent,20,0.455,0.128
5,softImpute,autism-adolescent,40,0.512,0.089
6,softImpute,autism-adult,5,0.27,0.011
7,softImpute,autism-adult,20,0.311,0.035
8,softImpute,autism-adult,40,0.39,0.027
9,softImpute,autism-child,5,0.515,0.094
10,softImpute,autism-child,20,0.585,0.04
11,softImpute,autism-child,40,0.501,0.073
12,softImpute,bc-coimbra,5,0.148,0.056
13,softImpute,bc-coimbra,20,0.153,0.048
14,softImpute,bc-coimbra,40,0.158,0.038
15,softImpute,blood-transfusion,5,0.044,0.033
16,softImpute,blood-transfusion,20,0.05,0.023
17,softImpute,blood-transfusion,40,0.067,0.019
18,softImpute,contraceptive-methods,5,0.448,0.036
19,softImpute,contraceptive-methods,20,0.416,0.047
20,softImpute,contraceptive-methods,40,0.336,0.015
21,softImpute,diabetic,5,0.179,0.02
22,softImpute,diabetic,20,0.172,0.023
23,softImpute,diabetic,40,0.167,0.026
24,softImpute,echocardiogram,5,0.219,0.056
25,softImpute,echocardiogram,20,0.197,0.073
26,softImpute,echocardiogram,40,0.192,0.015
27,softImpute,fertility,5,0.487,0.12
28,softImpute,fertility,20,0.32,0.073
29,softImpute,fertility,40,0.341,0.066
30,softImpute,german-credit,5,0.202,0.008
31,softImpute,german-credit,20,0.218,0.007
32,softImpute,german-credit,40,0.227,0.013
33,softImpute,haberman,5,0.187,0.132
34,softImpute,haberman,20,0.213,0.135
35,softImpute,haberman,40,0.23,0.161
36,softImpute,hcv-egyptian,5,0.491,0.016
37,softImpute,hcv-egyptian,20,0.522,0.013
38,softImpute,hcv-egyptian,40,0.528,0.008
39,softImpute,heart-cleveland,5,0.333,0.02
40,softImpute,heart-cleveland,20,0.28,0.023
41,softImpute,heart-cleveland,40,0.264,0.012
42,softImpute,hepatitis,5,0.556,0.084
43,softImpute,hepatitis,20,0.505,0.068
44,softImpute,hepatitis,40,0.375,0.057
45,softImpute,iris,5,0.082,0.012
46,softImpute,iris,20,0.095,0.021
47,softImpute,iris,40,0.208,0.027
48,softImpute,liver,5,0.135,0.047
49,softImpute,liver,20,0.135,0.031
50,softImpute,liver,40,0.162,0.014
51,softImpute,mathernal-risk,5,0.252,0.047
52,softImpute,mathernal-risk,20,0.211,0.015
53,softImpute,mathernal-risk,40,0.211,0.007
54,softImpute,npha,5,0.288,0.045
55,softImpute,npha,20,0.274,0.047
56,softImpute,npha,40,0.283,0.032
57,softImpute,parkinsons,5,0.15,0.05
58,softImpute,parkinsons,20,0.141,0.014
59,softImpute,parkinsons,40,0.143,0.028
60,softImpute,phoneme,5,0.2,0.038
61,softImpute,phoneme,20,0.166,0.028
62,softImpute,phoneme,40,0.16,0.016
