,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,knn,acute-inflammations,5,0.3,0.139
1,knn,acute-inflammations,20,0.34,0.152
2,knn,acute-inflammations,40,0.474,0.057
3,knn,autism-adolescent,5,0.325,0.133
4,knn,autism-adolescent,20,0.286,0.061
5,knn,autism-adolescent,40,0.281,0.022
6,knn,autism-adult,5,0.217,0.026
7,knn,autism-adult,20,0.238,0.022
8,knn,autism-adult,40,0.295,0.016
9,knn,autism-child,5,0.302,0.109
10,knn,autism-child,20,0.349,0.082
11,knn,autism-child,40,0.34,0.043
12,knn,bc-coimbra,5,0.157,0.067
13,knn,bc-coimbra,20,0.196,0.061
14,knn,bc-coimbra,40,0.216,0.058
15,knn,blood-transfusion,5,0.064,0.074
16,knn,blood-transfusion,20,0.082,0.051
17,knn,blood-transfusion,40,0.098,0.005
18,knn,contraceptive-methods,5,0.194,0.077
19,knn,contraceptive-methods,20,0.197,0.021
20,knn,contraceptive-methods,40,0.218,0.013
21,knn,diabetic,5,0.052,0.022
22,knn,diabetic,20,0.059,0.014
23,knn,diabetic,40,0.1,0.019
24,knn,echocardiogram,5,0.256,0.107
25,knn,echocardiogram,20,0.247,0.022
26,knn,echocardiogram,40,0.207,0.032
27,knn,fertility,5,0.26,0.145
28,knn,fertility,20,0.29,0.053
29,knn,fertility,40,0.278,0.037
30,knn,german-credit,5,0.172,0.026
31,knn,german-credit,20,0.164,0.019
32,knn,german-credit,40,0.188,0.023
33,knn,haberman,5,0.176,0.159
34,knn,haberman,20,0.147,0.074
35,knn,haberman,40,0.167,0.095
36,knn,hcv-egyptian,5,0.323,0.016
37,knn,hcv-egyptian,20,0.319,0.01
38,knn,hcv-egyptian,40,0.324,0.01
39,knn,heart-cleveland,5,0.227,0.062
40,knn,heart-cleveland,20,0.23,0.024
41,knn,heart-cleveland,40,0.232,0.029
42,knn,hepatitis,5,0.265,0.061
43,knn,hepatitis,20,0.249,0.059
44,knn,hepatitis,40,0.267,0.056
45,knn,iris,5,0.061,0.023
46,knn,iris,20,0.176,0.055
47,knn,iris,40,0.291,0.062
48,knn,liver,5,0.079,0.062
49,knn,liver,20,0.079,0.045
50,knn,liver,40,0.088,0.02
51,knn,mathernal-risk,5,0.058,0.009
52,knn,mathernal-risk,20,0.152,0.006
53,knn,mathernal-risk,40,0.16,0.022
54,knn,npha,5,0.228,0.064
55,knn,npha,20,0.199,0.043
56,knn,npha,40,0.202,0.041
57,knn,parkinsons,5,0.089,0.027
58,knn,parkinsons,20,0.095,0.016
59,knn,parkinsons,40,0.144,0.016
60,knn,phoneme,5,0.126,0.011
61,knn,phoneme,20,0.167,0.003
62,knn,phoneme,40,0.139,0.002
63,knn,pima-diabetes,5,0.101,0.011
64,knn,pima-diabetes,20,0.108,0.005
65,knn,pima-diabetes,40,0.132,0.022
66,knn,proba_football,5,0.055,0.015
67,knn,proba_football,20,0.052,0.012
68,knn,proba_football,40,0.051,0.007
69,knn,ricci,5,0.228,0.136
70,knn,ricci,20,0.246,0.071
71,knn,ricci,40,0.285,0.115
72,knn,sa-heart,5,0.169,0.041
73,knn,sa-heart,20,0.186,0.045
74,knn,sa-heart,40,0.192,0.04
75,knn,thoracic-surgery,5,0.08,0.046
76,knn,thoracic-surgery,20,0.109,0.034
77,knn,thoracic-surgery,40,0.108,0.024
78,knn,thyroid-recurrence,5,0.106,0.033
79,knn,thyroid-recurrence,20,0.144,0.04
80,knn,thyroid-recurrence,40,0.178,0.038
81,knn,wine,5,0.113,0.021
82,knn,wine,20,0.138,0.021
83,knn,wine,40,0.187,0.02
84,knn,wiscosin,5,0.065,0.011
85,knn,wiscosin,20,0.072,0.007
86,knn,wiscosin,40,0.14,0.016
