,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,gain,acute-inflammations,5,0.433,0.384
1,gain,acute-inflammations,20,0.48,0.14
2,gain,acute-inflammations,40,0.509,0.039
3,gain,autism-adolescent,5,0.619,0.063
4,gain,autism-adolescent,20,0.524,0.167
5,gain,autism-adolescent,40,0.499,0.087
6,gain,autism-adult,5,0.455,0.067
7,gain,autism-adult,20,0.51,0.02
8,gain,autism-adult,40,0.511,0.046
9,gain,autism-child,5,0.453,0.079
10,gain,autism-child,20,0.457,0.027
11,gain,autism-child,40,0.5,0.083
12,gain,bc-coimbra,5,0.422,0.09
13,gain,bc-coimbra,20,0.359,0.092
14,gain,bc-coimbra,40,0.56,0.089
15,gain,blood-transfusion,5,0.485,0.214
16,gain,blood-transfusion,20,0.451,0.188
17,gain,blood-transfusion,40,0.451,0.4
18,gain,contraceptive-methods,5,0.498,0.09
19,gain,contraceptive-methods,20,0.333,0.051
20,gain,contraceptive-methods,40,0.504,0.118
21,gain,diabetic,5,0.302,0.06
22,gain,diabetic,20,0.408,0.056
23,gain,diabetic,40,0.4,0.078
24,gain,echocardiogram,5,0.571,0.151
25,gain,echocardiogram,20,0.562,0.083
26,gain,echocardiogram,40,0.372,0.077
27,gain,fertility,5,0.404,0.112
28,gain,fertility,20,0.464,0.1
29,gain,fertility,40,0.524,0.082
30,gain,german-credit,5,0.39,0.053
31,gain,german-credit,20,0.377,0.016
32,gain,german-credit,40,0.437,0.04
33,gain,haberman,5,0.224,0.057
34,gain,haberman,20,0.441,0.296
35,gain,haberman,40,0.3,0.114
36,gain,hcv-egyptian,5,0.352,0.03
37,gain,hcv-egyptian,20,0.358,0.028
38,gain,hcv-egyptian,40,0.35,0.018
39,gain,heart-cleveland,5,0.384,0.096
40,gain,heart-cleveland,20,0.411,0.043
41,gain,heart-cleveland,40,0.5,0.044
42,gain,hepatitis,5,0.535,0.085
43,gain,hepatitis,20,0.46,0.084
44,gain,hepatitis,40,0.437,0.131
45,gain,iris,5,0.52,0.195
46,gain,iris,20,0.617,0.148
47,gain,iris,40,0.538,0.071
48,gain,liver,5,0.363,0.055
49,gain,liver,20,0.44,0.085
50,gain,liver,40,0.345,0.132
51,gain,mathernal-risk,5,0.466,0.146
52,gain,mathernal-risk,20,0.467,0.1
53,gain,mathernal-risk,40,0.443,0.181
54,gain,npha,5,0.462,0.046
55,gain,npha,20,0.516,0.096
56,gain,npha,40,0.427,0.092
57,gain,parkinsons,5,0.351,0.062
58,gain,parkinsons,20,0.336,0.032
59,gain,parkinsons,40,0.498,0.063
60,gain,phoneme,5,0.216,0.024
61,gain,phoneme,20,0.172,0.034
62,gain,phoneme,40,0.193,0.087
63,gain,pima-diabetes,5,0.33,0.065
64,gain,pima-diabetes,20,0.295,0.066
65,gain,pima-diabetes,40,0.298,0.087
66,gain,proba_football,5,0.369,0.061
67,gain,proba_football,20,0.358,0.024
68,gain,proba_football,40,0.346,0.037
69,gain,ricci,5,0.383,0.189
70,gain,ricci,20,0.518,0.073
71,gain,ricci,40,0.414,0.082
72,gain,sa-heart,5,0.32,0.092
73,gain,sa-heart,20,0.359,0.056
74,gain,sa-heart,40,0.352,0.092
75,gain,thoracic-surgery,5,0.429,0.087
76,gain,thoracic-surgery,20,0.408,0.111
77,gain,thoracic-surgery,40,0.369,0.091
78,gain,thyroid-recurrence,5,0.463,0.079
79,gain,thyroid-recurrence,20,0.495,0.089
80,gain,thyroid-recurrence,40,0.515,0.065
81,gain,wine,5,0.293,0.027
82,gain,wine,20,0.356,0.044
83,gain,wine,40,0.535,0.026
84,gain,wiscosin,5,0.377,0.017
85,gain,wiscosin,20,0.356,0.024
86,gain,wiscosin,40,0.366,0.043
