Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline,target
0.5131578,0.56089616,0.631016,0.6185567,0.4315217,0.45517242,0.43037975,1.02,0.47247386,0.3088737,0.25203258,0.44322345,0.4291726,0
0.61263156,0.69368637,0.66524065,0.58247423,0.30108696,0.40344828,0.37763715,0.752,0.25435546,0.27901024,0.2764228,0.60732603,0.5896576,0
0.5831579,0.44684318,0.65026736,0.6082474,0.30108696,0.38620692,0.42194095,0.788,0.22996517,0.39846417,0.32520324,0.41025648,0.52902997,0
0.9184212,0.69246435,0.775401,0.62371135,0.62717384,0.59310347,0.5063291,0.668,0.4773519,0.35153583,0.08943088,0.71794873,0.34400854,0
0.74473685,0.47291243,0.66844916,0.5927835,0.5076087,0.6448276,0.5590717,1.02,0.5679442,0.4394198,0.13821135,0.66300374,0.36897287,0
0.5473682,0.6619144,0.571123,0.5515464,0.35652173,0.40344828,0.43037975,0.704,0.26829273,0.28156996,0.10569106,0.52380955,0.53972894,0
0.67105263,0.2647658,0.6374332,0.5453608,0.3336956,0.6793103,0.61603373,0.488,0.3449478,0.37969282,0.08130081,0.7289378,0.58252496,0
0.6605262,0.6904277,0.65775394,0.5927835,0.36195654,0.4689656,0.41983125,0.816,0.33101046,0.28839588,0.5804878,0.52380955,0.2869472,0
0.5805263,0.24032584,0.5764706,0.5556701,0.39891297,0.59310347,0.4978903,0.468,0.4599303,0.34641638,0.08130081,0.6520147,0.43273893,0
0.7578947,0.5804481,0.62352943,0.5927835,0.44239122,0.5413793,0.42405066,0.648,0.4815331,0.36348122,0.70569104,0.64468867,0.5718259,0
0.80263156,0.6109979,0.6053476,0.53608245,0.3445652,0.6793103,0.5337553,0.7,0.5156795,0.33447096,0.21138214,0.68498176,0.56112695,0
0.67631596,0.5360489,0.6181818,0.5670103,0.3336956,0.6275862,0.5801688,0.688,0.49825788,0.43686008,0.10569106,0.64468867,0.50406563,0
0.4921052,0.45743382,0.6106952,0.5927835,0.37173912,0.46068966,0.40843883,0.692,0.41881534,0.3732082,0.21138214,0.43956044,0.32239658,1
0.57,0.37881875,0.74866307,0.55154634,0.30760878,0.4413793,0.31012657,1.02,0.49825785,0.44283277,0.55447155,0.66300374,0.37232524,1
0.53842103,0.44032586,0.54331553,0.4742268,0.45652175,0.42068964,0.4793249,1.08,0.24738677,0.47098976,0.13008128,0.72747254,0.36804566,1
0.46842116,0.505499,0.54331553,0.52577317,0.41304347,0.582069,0.4451477,0.98,0.26829273,0.46672356,0.21138214,0.73260075,0.28124106,1
0.5689474,0.3991853,0.6470587,0.6030928,0.41956523,0.5675862,0.4080169,1.66,0.24738677,0.49658704,0.45691058,0.6336997,0.42239657,1
0.53842103,0.5429735,0.54331553,0.44845358,0.45,0.56827587,0.29324895,1.08,0.3205575,0.4215017,0.17886178,0.5860806,0.3125535,1
0.52368444,0.3706721,0.65240633,0.62886596,0.4456522,0.6,0.53670883,1.3,0.3205575,0.5255973,0.08130081,0.6732601,0.32524964,1
0.60052633,0.3336049,0.58502674,0.44845358,0.24239129,0.37241375,0.29535866,1.12,0.4773519,0.44744027,0.5691057,0.53113556,0.46504992,1
0.61368424,0.60407335,0.87700534,0.49999997,0.2641304,0.5034483,0.4810127,0.684,0.6202091,0.46331057,0.14634149,0.6190477,0.2869472,1
0.58894736,0.64154786,0.5657754,0.4742268,0.4054348,0.65517247,0.40928268,0.672,0.99999994,0.5035836,0.56747967,0.45421246,0.35948646,1
0.4710526,0.37474543,0.59358287,0.55154634,0.40652174,0.43793106,0.34388188,0.736,0.48710802,0.5341297,0.09756099,0.44322345,0.33808845,1
0.6063158,0.42566192,0.9946524,0.49999997,0.36195654,0.5841379,0.29324895,1.54,0.45714286,0.24061432,0.36585367,0.7084249,0.23487873,1
0.58105266,0.40570265,0.7700534,0.55154634,0.53695655,0.41379315,0.28902954,1.1800001,0.25435546,0.56791806,0.26016265,0.6505495,0.46504992,1
0.59947366,0.5437882,0.7700534,0.62886596,0.45434782,0.4413793,0.34810126,1.2,0.4585366,0.57337886,0.12195121,0.5934066,0.44079885,1
0.59947366,0.65987784,0.7058823,0.55154634,0.4456522,0.35172415,0.38691983,1.34,0.52682924,0.5691126,0.49105692,0.7018315,0.5221113,2
0.7789473,0.5437882,0.7914438,0.49999997,0.4054348,0.63310343,0.4886076,1.34,0.50592333,0.41808873,0.14634149,0.71282053,0.2869472,2
0.55789465,0.5458248,0.81283414,0.6030928,0.39456528,0.63931036,0.4679325,1.54,0.5052265,0.39249146,0.46666667,0.64249086,0.5557775,2
0.58684224,0.5824847,0.6898395,0.5123711,0.39456528,0.5737931,0.49324894,1.14,0.55540067,0.3668942,0.4813008,0.6578755,0.28338087,2
0.80263156,0.4419552,0.66310155,0.6030928,0.5586957,0.5606896,0.4050633,1.16,0.5707317,0.73378843,0.5349594,0.7025641,0.24058487,2
0.7894737,0.7678207,0.64171124,0.62886596,0.43695652,0.6434483,0.5620253,1.38,0.59303135,0.48122865,0.499187,0.72014654,0.6362339,2
0.7157895,0.6334012,0.82352936,0.6546391,0.44891304,0.5524138,0.42236286,1.2,0.26132408,0.827645,0.5089431,0.7091575,0.2976462,2
0.5499999,0.56619143,0.66310155,0.4742268,0.4847826,0.5524138,0.4350211,1.14,0.63484323,0.7918089,0.5609756,0.72454214,0.29051355,2
0.74999994,0.4052953,0.8716577,0.73195875,0.37717384,0.60206896,0.40379748,1.12,0.2891986,0.6552901,0.52845526,0.63296705,0.3368759,2
